subject,fold_idx,auc,auprc,mcc,balanced_accuracy,precision,recall,f1,n_samples,n_positive,n_negative,run_idx
03,0,0.3984962406015038,0.42474130598191406,-0.2713923426088397,0.36278195488721804,0.29411764705882354,0.35714285714285715,0.3225806451612903,33,14,19,0
04,1,0.5402298850574713,0.5290995539093142,-0.07912761322523512,0.4610472541507024,0.43478260869565216,0.37037037037037035,0.4,56,27,29,0
05,2,0.37,0.44161288018005324,-0.1667593364912675,0.4166666666666667,0.41935483870967744,0.43333333333333335,0.4262295081967213,60,30,30,0
06,3,0.44642857142857145,0.46750637646726756,-0.041437096508237244,0.47939560439560436,0.4583333333333333,0.4230769230769231,0.44,54,26,28,0
07,4,0.5164835164835164,0.4292183540082699,0.022875450543583874,0.510989010989011,0.35714285714285715,0.7142857142857143,0.47619047619047616,20,7,13,0
08,5,0.5088757396449705,0.5193325232421582,-0.07715167498104596,0.46153846153846156,0.4583333333333333,0.4230769230769231,0.44,52,26,26,0
10,6,0.650974025974026,0.7103496649211047,0.2556653716805367,0.6201298701298701,0.6470588235294118,0.7857142857142857,0.7096774193548387,50,28,22,0
12,7,0.44285714285714284,0.4822002067445022,-0.16945155658659353,0.41547619047619044,0.42105263157894735,0.38095238095238093,0.4,41,21,20,0
14,8,0.797979797979798,0.7692239858906527,0.334876478559268,0.6843434343434344,0.4375,0.7777777777777778,0.56,31,9,22,0
18,9,0.5232,0.5765862724198239,0.04,0.52,0.52,0.52,0.52,50,25,25,0
19,10,0.4393939393939394,0.37382478632478633,0.11769797726729993,0.5606060606060606,0.4,0.6666666666666666,0.5,17,6,11,0
20,11,0.4772727272727273,0.6381999610609237,-0.3522727272727273,0.32386363636363635,0.375,0.2727272727272727,0.3157894736842105,19,11,8,0
21,12,0.6274509803921569,0.6446574862335732,0.19418390934515434,0.5980392156862745,0.5,0.6666666666666666,0.5714285714285714,29,12,17,0
22,13,0.21064814814814814,0.45854211145017804,-0.5773502691896257,0.20833333333333331,0.2857142857142857,0.25,0.26666666666666666,42,24,18,0
23,14,0.6666666666666667,0.9098917286417286,0.2004459314343183,0.625,0.875,0.5833333333333334,0.7,15,12,3,0
24,15,0.47,0.5318920938528453,-0.06666666666666667,0.4666666666666667,0.4,0.5333333333333333,0.45714285714285713,35,15,20,0
25,16,0.5134680134680134,0.6184454294046733,-0.06365239496641677,0.468013468013468,0.52,0.48148148148148145,0.5,49,27,22,0
26,17,0.4886363636363636,0.5602503045524334,0.05,0.525,0.55,0.5,0.5238095238095238,42,22,20,0
27,18,0.5518394648829432,0.5533611654752324,0.14715719063545152,0.5735785953177257,0.5384615384615384,0.6086956521739131,0.5714285714285714,49,23,26,0
28,19,0.5184304399524375,0.5353335319642266,0.10369516947304253,0.5517241379310345,0.5555555555555556,0.5172413793103449,0.5357142857142857,58,29,29,0
29,20,0.4766505636070853,0.642422716574909,-0.17138377676319405,0.41465378421900156,0.4642857142857143,0.48148148148148145,0.4727272727272727,50,27,23,0
30,21,0.29090909090909095,0.4464188535278265,-0.33636363636363636,0.3318181818181818,0.36363636363636365,0.36363636363636365,0.36363636363636365,42,22,20,0
31,22,0.26666666666666666,0.2834935805000672,-0.21019754169815524,0.39166666666666666,0.26666666666666666,0.3333333333333333,0.2962962962962963,32,12,20,0
32,23,0.5410225921521997,0.5725283765727941,-0.03587480016670876,0.4827586206896552,0.4864864864864865,0.6206896551724138,0.5454545454545454,58,29,29,0
34,24,0.40705128205128205,0.49969219389487307,-0.1987179487179487,0.40064102564102566,0.4166666666666667,0.38461538461538464,0.4,50,26,24,0
35,25,0.5425330812854443,0.5901538063900402,0.0,0.5,0.5,0.5217391304347826,0.5106382978723404,46,23,23,0
37,26,0.734472049689441,0.6955367102287995,0.451318607446686,0.7267080745341614,0.7692307692307693,0.7142857142857143,0.7407407407407407,51,28,23,0
38,27,0.6439393939393939,0.7108701505830692,0.30303030303030304,0.6515151515151515,0.6363636363636364,0.6363636363636364,0.6363636363636364,23,11,12,0
40,28,0.476608187134503,0.5288630480203103,-0.08187134502923976,0.45906432748538006,0.4444444444444444,0.4444444444444444,0.4444444444444444,37,18,19,0
41,29,0.6319875776397516,0.5914486258354528,0.2324518438161544,0.6156832298136645,0.5517241379310345,0.6956521739130435,0.6153846153846154,51,23,28,0
42,30,0.3840579710144928,0.5225723630172153,-0.1750644825168069,0.41183574879227053,0.47619047619047616,0.43478260869565216,0.45454545454545453,41,23,18,0
43,31,0.6440329218106996,0.7628077913825411,0.3122553023075242,0.6574074074074074,0.7307692307692307,0.7037037037037037,0.7169811320754716,45,27,18,0
