feature_name,mean_abs_shap_value
slowwaves_Density_mean_posterior_left_trimmean,0.0013004930454884288
slowwaves_Density_mean_posterior_mid_trimmean,0.0007962854445758348
slowwaves_Density_mean_posterior_right_trimmean,0.0014819058978552079
slowwaves_Duration_mean_central_left_trimmean,0.0014143615666291996
slowwaves_Duration_mean_central_mid_trimmean,0.0011455453099682115
slowwaves_Duration_mean_central_right_trimmean,0.0008508358317932716
slowwaves_Duration_mean_frontal_left_trimmean,0.0013806238577769928
slowwaves_Duration_mean_frontal_mid_trimmean,0.0009725388226844564
slowwaves_Duration_mean_frontal_right_trimmean,0.0014634151181223702
slowwaves_Duration_mean_posterior_left_trimmean,0.0013549046332196684
slowwaves_Duration_mean_posterior_mid_trimmean,0.0015063329899901309
slowwaves_Duration_mean_posterior_right_trimmean,0.0007754306828236985
slowwaves_Frequency_mean_central_left_trimmean,0.0010454745456427782
slowwaves_Frequency_mean_central_mid_trimmean,0.0009278260913719215
slowwaves_Frequency_mean_central_right_trimmean,0.0008190423922641374
slowwaves_Frequency_mean_frontal_left_trimmean,0.0009419530527621451
slowwaves_Frequency_mean_frontal_mid_trimmean,0.0008763370432529621
slowwaves_Frequency_mean_frontal_right_trimmean,0.0010308770388892793
slowwaves_Frequency_mean_posterior_left_trimmean,0.0017015151797370625
slowwaves_Frequency_mean_posterior_mid_trimmean,0.001029739165638022
slowwaves_Frequency_mean_posterior_right_trimmean,0.0008168995462816255
slowwaves_PTP_mean_central_left_trimmean,0.001672523702525534
slowwaves_PTP_mean_central_mid_trimmean,0.0014538892169387756
slowwaves_PTP_mean_central_right_trimmean,0.0013772432503822386
slowwaves_PTP_mean_frontal_left_trimmean,0.0021661885103360606
slowwaves_PTP_mean_frontal_mid_trimmean,0.0014955569906285645
slowwaves_PTP_mean_frontal_right_trimmean,0.0018438671284722592
slowwaves_PTP_mean_posterior_left_trimmean,0.003294023535661962
slowwaves_PTP_mean_posterior_mid_trimmean,0.0013815871457914179
slowwaves_PTP_mean_posterior_right_trimmean,0.0008570121527969197
slowwaves_Slope_mean_central_left_trimmean,0.0011566323304365567
slowwaves_Slope_mean_central_mid_trimmean,0.0011283693198248187
slowwaves_Slope_mean_central_right_trimmean,0.0010618366018775411
slowwaves_Slope_mean_frontal_left_trimmean,0.002626841153067965
slowwaves_Slope_mean_frontal_mid_trimmean,0.001046786327263195
slowwaves_Slope_mean_frontal_right_trimmean,0.0012244731320691714
slowwaves_Slope_mean_posterior_left_trimmean,0.0018923822769577148
slowwaves_Slope_mean_posterior_mid_trimmean,0.0009943998958155077
slowwaves_Slope_mean_posterior_right_trimmean,0.0009733972970870022
wsmi_alpha_mean_central_left_trimmean,0.0016580553069304974
wsmi_alpha_mean_central_mid_trimmean,0.0011335686683999972
wsmi_alpha_mean_central_right_trimmean,0.000919742174384021
wsmi_alpha_mean_frontal_left_trimmean,0.0012127923909025558
wsmi_alpha_mean_frontal_mid_trimmean,0.0009192224710770997
wsmi_alpha_mean_frontal_right_trimmean,0.0010482782487845437
wsmi_alpha_mean_posterior_left_trimmean,0.0013764506234807373
wsmi_alpha_mean_posterior_mid_trimmean,0.0008243679926049459
wsmi_alpha_mean_posterior_right_trimmean,0.001339217226332261
wsmi_beta_mean_central_left_trimmean,0.0007270948816606873
wsmi_beta_mean_central_mid_trimmean,0.0008094589683069415
wsmi_beta_mean_central_right_trimmean,0.0020910696079799646
wsmi_beta_mean_frontal_left_trimmean,0.001275404054378154
wsmi_beta_mean_frontal_mid_trimmean,0.0027694696645097663
wsmi_beta_mean_frontal_right_trimmean,0.0012892071693252083
wsmi_beta_mean_posterior_left_trimmean,0.001462021497150585
wsmi_beta_mean_posterior_mid_trimmean,0.0010327507357595859
wsmi_beta_mean_posterior_right_trimmean,0.0008650760313658407
wsmi_gamma_mean_central_left_trimmean,0.0010691672988234842
wsmi_gamma_mean_central_mid_trimmean,0.0011751934662232845
wsmi_gamma_mean_central_right_trimmean,0.003332298461222563
wsmi_gamma_mean_frontal_left_trimmean,0.0010851123014037698
wsmi_gamma_mean_frontal_mid_trimmean,0.001023959120898625
wsmi_gamma_mean_frontal_right_trimmean,0.0009442177406365388
wsmi_gamma_mean_posterior_left_trimmean,0.0035375536146622145
wsmi_gamma_mean_posterior_mid_trimmean,0.0009842073650745062
wsmi_gamma_mean_posterior_right_trimmean,0.0007912859180958147
wsmi_theta_mean_central_left_trimmean,0.0010320411563670671
wsmi_theta_mean_central_mid_trimmean,0.0016449184516145214
wsmi_theta_mean_central_right_trimmean,0.004299151256552381
wsmi_theta_mean_frontal_left_trimmean,0.0011759112806129695
wsmi_theta_mean_frontal_mid_trimmean,0.0014348468290385132
wsmi_theta_mean_frontal_right_trimmean,0.0009440335260682859
wsmi_theta_mean_posterior_left_trimmean,0.0008284484350735104
wsmi_theta_mean_posterior_mid_trimmean,0.0014801245292543849
wsmi_theta_mean_posterior_right_trimmean,0.0014427112756622222
