subject,auc,subject_median,dist_from_50
03,0.3984962406015038,45.0,5.0
04,0.5402298850574713,54.5,4.5
05,0.37,39.5,10.5
06,0.44642857142857145,47.0,3.0
07,0.5164835164835164,5.0,45.0
08,0.5088757396449705,36.5,13.5
10,0.650974025974026,48.0,2.0
12,0.44285714285714284,33.0,17.0
14,0.797979797979798,72.0,22.0
18,0.5232,66.0,16.0
19,0.4393939393939394,50.0,0.0
20,0.4772727272727273,91.0,41.0
21,0.6274509803921569,42.0,8.0
22,0.21064814814814814,60.5,10.5
23,0.6666666666666667,63.0,13.0
24,0.47,56.0,6.0
25,0.5134680134680134,48.0,2.0
26,0.4886363636363636,41.0,9.0
27,0.5518394648829432,31.0,19.0
28,0.5184304399524375,58.0,8.0
29,0.4766505636070853,75.5,25.5
30,0.29090909090909095,39.5,10.5
31,0.26666666666666666,35.0,15.0
32,0.5410225921521997,58.5,8.5
34,0.40705128205128205,57.5,7.5
35,0.5425330812854443,20.0,30.0
37,0.734472049689441,47.0,3.0
38,0.6439393939393939,76.0,26.0
40,0.476608187134503,19.0,31.0
41,0.6319875776397516,50.0,0.0
42,0.3840579710144928,56.0,6.0
43,0.6440329218106996,70.0,20.0
