subject,auc,minority_ratio,n_trials
03,0.7666666666666667,0.46153846153846156,26
05,0.6225,0.4772727272727273,44
06,0.8346666666666668,0.49056603773584906,53
08,0.6025,0.5,42
10,0.6677777777777777,0.38095238095238093,42
12,0.6333333333333334,0.4444444444444444,36
14,0.5,0.44,25
15,0.4166666666666667,0.36363636363636365,22
17,0.2666666666666667,0.36363636363636365,22
18,0.85,0.47368421052631576,19
19,0.8,0.4666666666666667,15
21,0.625,0.48717948717948717,39
22,0.4,0.45714285714285713,35
23,0.4138888888888889,0.4,30
24,0.6,0.4642857142857143,28
25,0.44800000000000006,0.5,48
26,0.45,0.45714285714285713,35
27,0.6416666666666666,0.375,32
28,0.7275,0.5,44
29,0.4919999999999999,0.48148148148148145,54
30,0.796,0.46,50
31,0.74,0.45652173913043476,46
32,0.8,0.49056603773584906,53
33,0.6666666666666666,0.3333333333333333,21
34,0.6158333333333335,0.4358974358974359,39
35,0.9166666666666667,0.42857142857142855,35
36,0.65,0.2727272727272727,22
37,0.5666666666666668,0.5,32
38,0.795,0.47619047619047616,42
39,0.7138888888888889,0.4,30
40,0.5000000000000001,0.40476190476190477,42
41,0.645,0.4523809523809524,42
42,0.6053333333333334,0.4716981132075472,53
43,0.696,0.4791666666666667,48
