subject,auc,label_std,label_mean
03,0.6888888888888889,18.359696662484964,46.03846153846154
05,0.53,34.13299445964624,30.09090909090909
06,0.8240000000000001,33.81431409101141,30.528301886792452
08,0.5725,27.33731310082595,23.523809523809526
10,0.6299999999999999,14.910826691140917,49.642857142857146
12,0.5416666666666666,34.416173754108925,39.388888888888886
14,0.4,13.905993911499698,71.28
15,0.5666666666666667,17.464373135166603,74.36363636363636
17,0.33333333333333337,12.136043415526736,76.95454545454545
18,0.9,24.11619048014951,17.42105263157895
19,0.3,10.093845366643691,57.2
21,0.6416666666666666,18.6682089202874,81.15384615384616
22,0.4166666666666667,12.293880420693839,79.51428571428572
23,0.538888888888889,14.367468041761372,76.3
24,0.6333333333333333,15.744445564629011,66.96428571428571
25,0.48599999999999993,27.65465859207038,61.666666666666664
26,0.3666666666666667,15.574057291027337,87.48571428571428
27,0.6,21.481401370457885,64.96875
28,0.7,21.97455524519442,66.6590909090909
29,0.508,30.24226082194652,36.833333333333336
30,0.7966666666666666,26.959046794752084,52.84
31,0.7460000000000001,20.135339184080586,30.347826086956523
32,0.8266666666666665,36.499925442793206,42.79245283018868
33,0.5166666666666666,22.8208342571098,19.095238095238095
34,0.6533333333333333,30.470334680580038,33.92307692307692
35,0.8,35.08220837601041,47.05714285714286
36,0.5000000000000001,21.770745691532213,75.18181818181819
37,0.538888888888889,24.081765957107528,50.5625
38,0.7625,29.40652822825273,29.5
39,0.8388888888888889,20.002902088297663,75.23333333333333
40,0.5366666666666667,24.590785598534215,64.30952380952381
41,0.6941666666666666,21.110034713883593,56.69047619047619
42,0.5159999999999999,24.18809336569615,43.113207547169814
43,0.7200000000000001,21.32308042627163,78.91666666666667
