subject,auc,label_std,label_mean
03,0.5263157894736842,12.693080229569405,51.65714285714286
04,0.5559006211180124,30.743773480871493,63.01960784313726
05,0.4975369458128079,41.93007964394259,46.89473684210526
06,0.413265306122449,29.83547417891191,53.089285714285715
07,0.5708333333333333,22.751728044969635,17.8125
08,0.6266233766233766,32.79123825235102,44.8
10,0.5201465201465202,19.493398868462073,46.91489361702128
12,0.7226890756302521,30.38247230980247,38.193548387096776
14,0.3333333333333333,9.824839567518268,71.71428571428571
15,0.5961538461538461,14.437492042269259,69.76470588235294
17,0.5588235294117647,13.608575727581975,76.88
18,0.5502645502645503,20.939676064114114,62.21818181818182
19,0.5555555555555556,10.974984847263382,55.68421052631579
20,0.2962962962962963,8.608965426477544,88.4
21,0.5333333333333333,17.339742404853272,50.6
22,0.3305785123966942,28.65468389445099,57.54545454545455
24,0.2756410256410256,14.745055668483138,61.6
25,0.4565217391304348,23.145526417301422,46.372093023255815
26,0.5142857142857143,14.240101397282187,37.65853658536585
27,0.4038461538461538,30.353091192291046,47.391304347826086
28,0.556923076923077,28.159754343848284,58.705882352941174
29,0.5231999999999999,25.67219571156821,64.86
30,0.45913461538461536,27.771090174448535,40.285714285714285
31,0.4801587301587301,19.185399277954716,45.72727272727273
32,0.5683709869203329,32.267133070479346,53.91379310344828
33,0.41486068111455104,26.502156246507298,81.08333333333333
34,0.4919908466819222,30.747557809783352,57.38095238095238
35,0.5,27.58794019937778,38.638888888888886
36,0.6,27.116512739618543,67.6
37,0.6111111111111112,20.337363997928456,48.41379310344828
38,0.3461538461538462,16.558366078194048,79.11111111111111
39,0.44949494949494945,28.230446827473653,77.37931034482759
40,0.5124653739612188,22.45045121153931,30.63157894736842
41,0.582010582010582,21.773214610937153,56.92307692307692
42,0.5473145780051151,14.170301192897627,51.15
43,0.5597826086956521,25.82379987817461,61.148936170212764
