contrast,label,n_subjects,mean_rho_magnitude,sd_rho_magnitude,mean_noise_ceiling,mean_pct_of_ceiling,n_sig_magnitude,legacy_group_rho,legacy_group_p,marker_group_rho,marker_group_p,n_sig_markers,mean_sign_concordance,n_sig_sign_markers
on_off,On/Off-Task,29,0.08324339105411252,0.13053680497504497,0.9946443302904423,8.363678806319587,6,0.4127653381101657,9.999000099990002e-05,0.5770750988142292,0.0021997800219978004,0,0.5877061469265368,0
valence,Valence,23,0.07582534770234658,0.1377103934161063,0.9880096740679881,7.643641973506948,4,0.34763546798029554,9.999000099990002e-05,0.5563241106719368,0.0034996500349965005,0,0.5406427221172023,6
selfother,Self/Other,31,0.018553636346995087,0.09983561756905154,0.9920941743712495,1.8645144126207849,1,0.21967980295566503,0.0015998400159984002,0.3132411067193676,0.0766923307669233,0,0.5119214586255258,1
time,Time,27,-0.015177223797913454,0.08737252121698526,0.990561915689802,-1.5313781606355659,0,0.0030295566502463057,0.48155184481551844,-0.001976284584980237,0.5132486751324867,0,0.5346215780998389,1
confidence,Confidence,23,0.01186458700766842,0.1250708097090053,0.971867348864991,1.3388860306474164,2,0.30691894312583967,9.999000099990002e-05,0.5760869565217391,0.0029997000299970002,0,0.5597181646330984,2
