contrast,label,subject,marker,direction_ws,direction_loso
on_off,On/Off-Task,03,N1,0.35236504282504716,-0.6400023603128845
on_off,On/Off-Task,03,P1,0.40236995188937186,-0.7782887393150034
on_off,On/Off-Task,03,P3a,0.5326819473072448,0.04766116661830005
on_off,On/Off-Task,03,P3b,0.04535578720648454,0.8858009498891343
on_off,On/Off-Task,03,PE_alpha,0.6032937815156614,0.7863933691197555
on_off,On/Off-Task,03,PE_beta,0.6393010733073591,-0.26206777480077464
on_off,On/Off-Task,03,PE_gamma,0.6318616129760168,-0.37742164402285583
on_off,On/Off-Task,03,PE_theta,-0.37046713219520894,-0.646371267807044
on_off,On/Off-Task,03,kolmogorov_complexity,0.40888691131032956,0.6327631190320652
on_off,On/Off-Task,03,psd_relative_alpha,-0.48941665300866005,-0.8394748294975113
on_off,On/Off-Task,03,psd_relative_beta,0.660196304238269,0.6919859401873981
on_off,On/Off-Task,03,psd_relative_delta,0.06814334875664373,0.5931011499685481
on_off,On/Off-Task,03,psd_relative_gamma,0.5736243819246253,-0.28281098948014055
on_off,On/Off-Task,03,psd_relative_theta,-0.5654291577498931,0.7595785158734011
on_off,On/Off-Task,03,slowwaves_Density,-0.2205558951968911,-0.7863958872887381
on_off,On/Off-Task,03,slowwaves_Duration,0.4072619679274752,-0.11079752168358198
on_off,On/Off-Task,03,slowwaves_Frequency,-0.4526950625002568,-0.28321880440756597
on_off,On/Off-Task,03,slowwaves_PTP,-0.0450434358975365,-0.6543978597284135
on_off,On/Off-Task,03,slowwaves_Slope,-0.41311487083244647,-0.47154740754461244
on_off,On/Off-Task,03,wsmi_alpha,-0.36170433521301665,0.1823053714779042
on_off,On/Off-Task,03,wsmi_beta,-0.6162411111388751,0.7107811178351018
on_off,On/Off-Task,03,wsmi_gamma,-0.5234652191953466,0.799456946024876
on_off,On/Off-Task,03,wsmi_theta,-0.08557179183561135,0.7520099225406404
on_off,On/Off-Task,05,N1,-0.004783127242431835,-0.6747674807333427
on_off,On/Off-Task,05,P1,-0.6180805713935704,-0.6222845957226146
on_off,On/Off-Task,05,P3a,0.09009413129783833,0.061865134983619265
on_off,On/Off-Task,05,P3b,0.5055273745611931,0.8712862639519704
