contrast,label,marker,rho_across_subjects,p_across_subjects,mean_share_ws,mean_share_loso,mean_direction_ws,mean_direction_loso,sign_concordance,p_sign_concordance,n_rois,n_comparable_subjects,n_subjects,p_across_subjects_fdr,p_sign_concordance_fdr
on_off,On/Off-Task,N1,-0.2157635467980295,0.8687131286871312,0.031065908142014684,0.034180060120990056,-0.09194865017500542,-0.6338514446175348,0.5172413793103449,1.0,1,29,29,0.9982001799820018,1.0
on_off,On/Off-Task,P1,-0.20788177339901473,0.8683131686831317,0.033547430610644254,0.04896317866817121,-0.14587150048522943,-0.7295782126487104,0.6206896551724138,0.26493089646101,1,29,29,0.9982001799820018,0.5077842182169358
on_off,On/Off-Task,P3a,0.021674876847290636,0.46555344465553444,0.042039672636250656,0.018518705164726892,0.027194058797621275,0.1084357949161218,0.3448275862068966,0.13604594767093658,1,29,29,0.9982001799820018,0.3911320995539427
on_off,On/Off-Task,P3b,-0.0004926108374384235,0.4968503149685031,0.05081120095165544,0.056108621193758035,0.20785124640174232,0.8870163974723037,0.6896551724137931,0.06142834573984146,1,29,29,0.9982001799820018,0.23547532533605894
on_off,On/Off-Task,PE_alpha,-0.12463054187192114,0.74002599740026,0.04263513347524827,0.07051266129922011,0.2418784123847421,0.7544786855588109,0.7241379310344828,0.0241195447742939,9,29,29,0.9982001799820018,0.18491650993625325
on_off,On/Off-Task,PE_beta,0.05369458128078817,0.39176082391760825,0.057776696184120964,0.048354745636107664,0.04585023958373597,-0.277482969760249,0.41379310344827586,0.45825831964612007,9,29,29,0.9982001799820018,0.5855522973255979
on_off,On/Off-Task,PE_gamma,-0.22906403940886697,0.884011598840116,0.05819349202438219,0.055517072294657854,0.01723640083230553,-0.3850053952553475,0.41379310344827586,0.45825831964612007,9,29,29,0.9982001799820018,0.5855522973255979
on_off,On/Off-Task,PE_theta,-0.34433497536945806,0.9642035796420358,0.06141885908960201,0.03436033819616359,-0.1484128501061125,-0.6335577275974946,0.6206896551724138,0.26493089646101,9,29,29,0.9982001799820018,0.5077842182169358
on_off,On/Off-Task,kolmogorov_complexity,-0.17881773399014775,0.82001799820018,0.05099766526527549,0.04799222871906806,0.11880514028856619,0.6717705776387684,0.5862068965517241,0.45825831964612007,9,29,29,0.9982001799820018,0.5855522973255979
on_off,On/Off-Task,psd_relative_alpha,-0.09802955665024629,0.6877312268773123,0.0483285893184858,0.06387108768704575,-0.24474877697494254,-0.8068217305370384,0.7586206896551724,0.008130058646202087,9,29,29,0.9982001799820018,0.18491650993625325
on_off,On/Off-Task,psd_relative_beta,-0.35665024630541864,0.9692030796920308,0.04704007771655551,0.051483229967382395,0.2249665937309592,0.6769752535293221,0.6896551724137931,0.06142834573984146,9,29,29,0.9982001799820018,0.23547532533605894
on_off,On/Off-Task,psd_relative_delta,-0.5073891625615763,0.9981001899810019,0.052726271412597454,0.03809062910204918,0.15649353742152355,0.5843239547505007,0.5862068965517241,0.45825831964612007,9,29,29,0.9982001799820018,0.5855522973255979
on_off,On/Off-Task,psd_relative_gamma,-0.3665024630541871,0.9743025697430256,0.05049795320936498,0.05504731306431152,0.007034345436232983,-0.2905939031922724,0.5172413793103449,1.0,9,29,29,0.9982001799820018,1.0
on_off,On/Off-Task,psd_relative_theta,-0.48078817733990137,0.9967003299670033,0.04666543603604942,0.05178744073693735,0.18433439414684985,0.7521964193804856,0.6206896551724138,0.26493089646101,9,29,29,0.9982001799820018,0.5077842182169358
on_off,On/Off-Task,slowwaves_Density,-0.23842364532019697,0.8969103089691031,0.044990313533495925,0.0735975064411157,-0.18395967100338412,-0.8032069833879818,0.6551724137931034,0.13604594767093658,9,29,29,0.9982001799820018,0.3911320995539427
on_off,On/Off-Task,slowwaves_Duration,0.20246305418719207,0.1471852814718528,0.02562380139032562,0.02234497575817578,0.020706977996052985,-0.18131981371478062,0.5172413793103449,1.0,9,29,29,0.8463153684631537,1.0
on_off,On/Off-Task,slowwaves_Frequency,0.24236453201970437,0.1040895910408959,0.02911100475552712,0.024024955321054593,-0.08618258185592106,-0.18955830822759603,0.5517241379310345,0.711071103811264,9,29,29,0.8164183581641836,0.8607702835610038
on_off,On/Off-Task,slowwaves_PTP,0.2379310344827586,0.10648935106489352,0.03251452993959454,0.030562473344194933,-0.12297385441816182,-0.5812161626171852,0.6896551724137931,0.06142834573984146,9,29,29,0.8164183581641836,0.23547532533605894
on_off,On/Off-Task,slowwaves_Slope,0.34285714285714275,0.0357964203579642,0.030474499551418687,0.026090492230589197,-0.04174304595683659,-0.45055664698096815,0.5862068965517241,0.45825831964612007,9,29,29,0.8164183581641836,0.5855522973255979
on_off,On/Off-Task,wsmi_alpha,-0.01379310344827586,0.5291470852914708,0.03748129488519094,0.024338983353161373,0.031663266650006884,0.11602233645309494,0.4827586206896552,1.0,9,29,29,0.9982001799820018,1.0
on_off,On/Off-Task,wsmi_beta,-0.00689655172413793,0.5167483251674833,0.0402538520307151,0.033458999519219226,0.13160439213164288,0.6133689141304645,0.7241379310344828,0.0241195447742939,9,29,29,0.9982001799820018,0.18491650993625325
on_off,On/Off-Task,wsmi_gamma,-0.004926108374384235,0.5085491450854914,0.04467304952231337,0.04420908230391741,0.15460769394294815,0.7327116570091189,0.6206896551724138,0.26493089646101,9,29,29,0.9982001799820018,0.5077842182169358
on_off,On/Off-Task,wsmi_theta,-0.5211822660098521,0.9982001799820018,0.04113326831917166,0.04658521987798196,0.18716187356425737,0.7498458455761619,0.5862068965517241,0.45825831964612007,9,29,29,0.9982001799820018,0.5855522973255979
valence,Valence,N1,0.07707509881422926,0.36306369363063695,0.04231530716956408,0.02912218446593513,0.06861496967583314,0.7071533741960332,0.5652173913043478,0.6776394844055176,1,23,23,0.7616420176164201,0.8203004284908897
valence,Valence,P1,0.07806324110671936,0.36426357364263573,0.04265145170469862,0.03120015402497951,0.1826938301594524,0.7102353599911506,0.782608695652174,0.010622024536132812,1,23,23,0.7616420176164201,0.040717760721842446
valence,Valence,P3a,-0.24901185770750991,0.8742125787421258,0.04469430577057448,0.07750035158587577,-0.14012317001080962,-0.838390878541929,0.6521739130434783,0.21003961563110352,1,23,23,0.9982001799820018,0.4391737417741255
valence,Valence,P3b,0.2756916996047431,0.1034896510348965,0.04095940532096954,0.022507045207078115,-0.12036004725747171,0.038958087179072245,0.08695652173913043,6.604194641113281e-05,1,23,23,0.3967103289671033,0.0015189647674560547
valence,Valence,PE_alpha,0.024703557312252968,0.45485451454854514,0.04572679856577853,0.03611499474531032,0.10309496657523613,0.4430412135487201,0.5652173913043478,0.6776394844055176,9,23,23,0.8718044862180448,0.8203004284908897
valence,Valence,PE_beta,0.23320158102766803,0.14028597140285973,0.04802122441620509,0.03895337920330462,0.041220573728842816,-0.03300424495255497,0.391304347826087,0.4048728942871094,9,23,23,0.4609396203236819,0.7163135822002705
valence,Valence,PE_gamma,0.2648221343873518,0.10268973102689731,0.05083433090588133,0.03859045900062097,0.03752057129056591,0.0016865747310747818,0.43478260869565216,0.6776394844055176,9,23,23,0.3967103289671033,0.8203004284908897
valence,Valence,PE_theta,-0.24308300395256918,0.8717128287171283,0.0442041697511317,0.05110564984612478,-0.19561733272304338,-0.6470453882535068,0.782608695652174,0.010622024536132812,9,23,23,0.9982001799820018,0.040717760721842446
valence,Valence,kolmogorov_complexity,-0.5760869565217391,0.9976002399760024,0.06133472236710847,0.08092156536768962,0.0929829421629288,0.5611122129246181,0.5652173913043478,0.6776394844055176,9,23,23,0.9982001799820018,0.8203004284908897
valence,Valence,psd_relative_alpha,-0.2005928853754941,0.8177182281771823,0.039727964090717174,0.06909274202887997,-0.28433869164597086,-0.722611368967444,0.8260869565217391,0.002599477767944336,9,23,23,0.9982001799820018,0.029893994331359863
valence,Valence,psd_relative_beta,-0.010869565217391304,0.5209479052094791,0.04637498846877243,0.038034766491428694,0.08320430322483192,0.432325697762591,0.5652173913043478,0.6776394844055176,9,23,23,0.9216770630629246,0.8203004284908897
valence,Valence,psd_relative_delta,-0.5889328063241107,0.9982001799820018,0.04991153936257219,0.10863502109156707,0.29959481564053136,0.8262490654114775,0.7391304347826086,0.03468966484069824,9,23,23,0.9982001799820018,0.11398032733372279
valence,Valence,psd_relative_gamma,0.4318181818181818,0.0163983601639836,0.05189257097104133,0.046084970369745196,-0.016936097967348657,-0.3390002544652459,0.5217391304347826,1.0,9,23,23,0.18858114188581143,1.0
valence,Valence,psd_relative_theta,-0.12944664031620554,0.7352264773522648,0.042882199521103954,0.0363168006261978,0.12128754442168813,0.558912359397023,0.6521739130434783,0.21003961563110352,9,23,23,0.9947181752412995,0.4391737417741255
valence,Valence,slowwaves_Density,0.16699604743083005,0.22057794220577942,0.04259765118077766,0.03623901460223496,-0.015559622450984219,-0.053265954065160576,0.21739130434782608,0.010622024536132812,9,23,23,0.6341615838416158,0.040717760721842446
valence,Valence,slowwaves_Duration,0.14525691699604742,0.24817518248175183,0.03459883273658979,0.03041735998926094,-0.030017689591212583,-0.537656931544929,0.4782608695652174,1.0,9,23,23,0.6342254663422546,1.0
valence,Valence,slowwaves_Frequency,0.5385375494071146,0.0030996900309969004,0.03217137884528527,0.024975822550493024,0.0077161179861712495,0.30102404739361355,0.5217391304347826,1.0,9,23,23,0.07129287071292871,1.0
valence,Valence,slowwaves_PTP,-0.1324110671936759,0.7277272272772722,0.036466151327234506,0.03918653045326892,-0.06749984489763663,-0.32406511940610483,0.6521739130434783,0.21003961563110352,9,23,23,0.9947181752412995,0.4391737417741255
valence,Valence,slowwaves_Slope,0.358695652173913,0.048295170482951705,0.034608351526488224,0.02505838095114696,-0.07553160932672556,-0.14101584939594042,0.6086956521739131,0.4048728942871094,9,23,23,0.2776972302769723,0.7163135822002705
valence,Valence,wsmi_alpha,-0.08893280632411067,0.6633336666333367,0.043001459791725434,0.034002310290750015,-0.022456760016004593,0.0722075723144136,0.21739130434782608,0.010622024536132812,9,23,23,0.9947181752412995,0.040717760721842446
valence,Valence,wsmi_beta,-0.09189723320158102,0.6643335666433356,0.04088721146137844,0.03416536526151932,0.07922789710057125,0.2402269788380295,0.6521739130434783,0.21003961563110352,9,23,23,0.9947181752412995,0.4391737417741255
