contrast,label,subject,n_features_compared,rho_magnitude,p_magnitude,reliability_ws,reliability_loso,noise_ceiling,rho_magnitude_corrected,pct_of_ceiling,n_features_used_ws,n_features_used_loso,p_magnitude_fdr
on_off,On/Off-Task,03,175,-0.05557545902373489,0.7648235176482352,0.9915480617896973,0.9962014789507991,0.9938720468982387,-0.055918122656915,-5.5918122656915,155.63,175.0,0.8530723850691854
on_off,On/Off-Task,05,175,0.13323555754590238,0.039196080391960805,0.992334203890998,0.9966615294059499,0.9944955129772269,0.1339730102421823,13.397301024218232,174.99,175.0,0.1388638913886389
on_off,On/Off-Task,06,175,-0.014059561128526646,0.5716428357164284,0.9955377224391385,0.996452980361623,0.9959952462672208,-0.014116092603071052,-1.411609260307105,174.92,175.0,0.7207670537294096
on_off,On/Off-Task,10,175,0.10566950291088222,0.0791920807919208,0.9929999289733492,0.996330064926163,0.9946636032879117,0.10623642260718723,10.623642260718723,174.31,175.0,0.17833216678332167
on_off,On/Off-Task,12,175,0.12399238692342142,0.053394660533946606,0.9891662432225361,0.9953264457929576,0.9922415639173049,0.12496189580479533,12.496189580479532,174.75,175.0,0.15484451554844514
on_off,On/Off-Task,14,175,0.2686363636363636,0.0004999500049995,0.9914854362683607,0.995249595883808,0.9933657331369786,0.27043047155253586,27.043047155253586,171.34,175.0,0.0028997100289971
on_off,On/Off-Task,15,175,0.15853560232870578,0.018598140185981403,0.9942596683714259,0.9957331024673799,0.9949961126786718,0.15933288613751995,15.933288613751994,169.01,175.0,0.07704943791335152
on_off,On/Off-Task,17,175,0.008909538737124944,0.44525547445255476,0.9900280535199196,0.9962466005888567,0.9931324598495523,0.008971148459365261,0.8971148459365262,165.1,175.0,0.6148766075773375
on_off,On/Off-Task,19,175,0.027660098522167487,0.3534646535346465,0.9916744277933001,0.9965420470452366,0.9941052581470178,0.027824114494399796,2.7824114494399796,161.56,175.0,0.5125237476252374
on_off,On/Off-Task,21,175,0.27231164968714056,0.00019998000199980003,0.9960553242750719,0.9978154351233601,0.996934991259947,0.27314885330987076,27.314885330987074,161.74,175.0,0.0019331400193314003
on_off,On/Off-Task,22,175,0.12568965517241382,0.0430956904309569,0.989268045390148,0.9975038609345258,0.9933774180923505,0.12652759453077173,12.652759453077172,174.76,175.0,0.1388638913886389
on_off,On/Off-Task,23,175,0.035185848634124495,0.31326867313268675,0.9847358005662838,0.9954868885847409,0.9900967519307059,0.03553778816616808,3.5537788166168083,171.55,175.0,0.4781469221498903
on_off,On/Off-Task,24,175,0.1057321988356471,0.08609139086091391,0.9858643201816634,0.997697352179436,0.9917631883939962,0.10661032802282538,10.661032802282538,173.96,175.0,0.17833216678332167
on_off,On/Off-Task,25,175,0.10512763098969997,0.08309169083091691,0.9937566044580233,0.9969375826105901,0.9953458227931085,0.10561920146979076,10.561920146979077,174.99,175.0,0.17833216678332167
on_off,On/Off-Task,27,175,-0.025300044782803406,0.6242375762423757,0.9948640388190441,0.9975657412592829,0.996213974172579,-0.025396195434637173,-2.5396195434637177,174.99,175.0,0.7542870712928708
on_off,On/Off-Task,28,175,0.06972234661889835,0.1785821417858214,0.995073248719371,0.9967539396390022,0.9959132396400872,0.07000845439517935,7.000845439517934,170.84,175.0,0.3236801319868013
on_off,On/Off-Task,29,175,-0.18952082400358264,0.9945005499450055,0.9870305433199813,0.9971076458752515,0.9920562995398784,-0.1910383756360234,-19.10383756360234,175.0,175.0,0.9945005499450055
on_off,On/Off-Task,30,175,-0.007154052843708018,0.5306469353064693,0.9949918368403227,0.9974689795666399,0.9962296382713443,-0.007181128295000052,-0.7181128295000052,174.94,175.0,0.6994891419948914
on_off,On/Off-Task,31,175,0.31161218092252574,9.999000099990002e-05,0.9944442255408015,0.9969161798363532,0.9956794355546652,0.3129643636246593,31.29643636246593,172.03,175.0,0.0014498550144985503
on_off,On/Off-Task,32,175,0.06393416927899687,0.20217978202179782,0.9961383018418367,0.9967573201784092,0.99644776294141,0.06416208822655174,6.4162088226551734,174.45,175.0,0.34489492227247864
on_off,On/Off-Task,34,175,-0.09497760859829826,0.8923107689231077,0.994611740260442,0.9968294329256034,0.9957199691805744,-0.09538586303181193,-9.538586303181193,174.94,175.0,0.958407862917412
on_off,On/Off-Task,35,175,0.2939587998208688,9.999000099990002e-05,0.9941169581159851,0.997161693642553,0.9956381620014968,0.2952466177370438,29.52466177370438,174.97,175.0,0.0014498550144985503
on_off,On/Off-Task,37,175,0.08884908195253023,0.12368763123687632,0.9957003562047998,0.9957692337962104,0.9957347944049496,0.08922966481815711,8.922966481815712,174.43,175.0,0.2391294203912942
on_off,On/Off-Task,38,175,-0.13242274966412898,0.9612038796120388,0.9896830486868256,0.9970930069356879,0.9933811186691771,-0.13330508017057385,-13.330508017057385,174.22,175.0,0.9945005499450055
on_off,On/Off-Task,39,175,0.23839901477832512,0.0007999200079992001,0.9939651424465163,0.9961789166104744,0.995071413894976,0.23957980447369856,23.957980447369856,169.6,175.0,0.0038662800386628005
on_off,On/Off-Task,40,175,0.28859174238234614,0.00029997000299970003,0.9954634340419601,0.9970637277744404,0.9962632595900657,0.2896741795949532,28.967417959495318,166.07,175.0,0.002174782521747825
on_off,On/Off-Task,41,175,0.10522839229735784,0.08609139086091391,0.9940365241776992,0.9974093380566893,0.9957215030239385,0.10568054619468031,10.56805461946803,174.8,175.0,0.17833216678332167
on_off,On/Off-Task,42,175,-0.0448410210479176,0.7273272672732727,0.9934402324147856,0.9966006645891703,0.9950191937114555,-0.045065483491488305,-4.50654834914883,174.99,175.0,0.8436996300369963
