contrast,label,feature,marker,mean_share_ws,mean_share_loso,mean_direction_ws,mean_direction_loso,sign_concordance,p_sign_concordance,n_comparable_subjects,p_sign_concordance_fdr
on_off,On/Off-Task,N1_mean_occipitoparietal_lateral_trimmean,N1,0.004013534762518475,0.004417263744435104,-0.09194865017500542,-0.6338514446175348,0.5172413793103449,1.0,29,1.0
on_off,On/Off-Task,P1_mean_occipitoparietal_lateral_trimmean,P1,0.004334133041708827,0.006327761659213433,-0.14587150048522943,-0.7295782126487103,0.6206896551724138,0.26493089646101,29,0.503944640007356
on_off,On/Off-Task,P3a_mean_frontocentral_midline_trimmean,P3a,0.005431281350577842,0.002393266852909846,0.027194058797621257,0.1084357949161218,0.3448275862068966,0.13604594767093658,29,0.3968006807068984
on_off,On/Off-Task,P3b_mean_centroparietal_midline_trimmean,P3b,0.00656451182474769,0.007251203692214317,0.20785124640174232,0.8870163974723037,0.6896551724137931,0.06142834573984146,29,0.2559514405826728
on_off,On/Off-Task,PE_alpha_mean_central_left_trimmean,PE_alpha,0.005181239890421664,0.010679102957703067,0.26715357896305675,0.8668367788180178,0.7241379310344828,0.0241195447742939,29,0.175871680645893
on_off,On/Off-Task,PE_alpha_mean_central_mid_trimmean,PE_alpha,0.005585667687847178,0.01215837441289673,0.2942079650372924,0.8801278676972365,0.7586206896551724,0.008130058646202087,29,0.14227602630853653
on_off,On/Off-Task,PE_alpha_mean_central_right_trimmean,PE_alpha,0.00801361961025254,0.015650634854885895,0.2876363818259289,0.8784410781603474,0.7241379310344828,0.0241195447742939,29,0.175871680645893
on_off,On/Off-Task,PE_alpha_mean_frontal_left_trimmean,PE_alpha,0.005653277049953795,0.0026890143646899943,0.03189263007574808,-0.4312667416466749,0.4482758620689655,0.711071103811264,29,0.8465132188229334
on_off,On/Off-Task,PE_alpha_mean_frontal_mid_trimmean,PE_alpha,0.0050098183632757,0.0024258704805736795,0.0025685046145958687,-0.39247716023454726,0.5172413793103449,1.0,29,1.0
on_off,On/Off-Task,PE_alpha_mean_frontal_right_trimmean,PE_alpha,0.0043027811672570245,0.002466937737609903,0.04994956430396152,-0.1624229310030787,0.41379310344827586,0.45825831964612007,29,0.6682933828172585
on_off,On/Off-Task,PE_alpha_mean_posterior_left_trimmean,PE_alpha,0.005980842424625494,0.015520745458145637,0.2874399495160737,0.8875663436535011,0.7586206896551724,0.008130058646202087,29,0.14227602630853653
on_off,On/Off-Task,PE_alpha_mean_posterior_mid_trimmean,PE_alpha,0.00457638928060616,0.007232649530348747,0.20958623395684134,0.7596165462317691,0.7241379310344828,0.0241195447742939,29,0.175871680645893
on_off,On/Off-Task,PE_alpha_mean_posterior_right_trimmean,PE_alpha,0.005270267394702633,0.013191072477547512,0.33242420547389745,0.8805311154008953,0.7241379310344828,0.0241195447742939,29,0.175871680645893
on_off,On/Off-Task,PE_beta_mean_central_left_trimmean,PE_beta,0.0076462222143411284,0.0027703621350340262,0.10165473581836815,0.492925964150526,0.5517241379310345,0.711071103811264,29,0.8465132188229334
on_off,On/Off-Task,PE_beta_mean_central_mid_trimmean,PE_beta,0.007977653530296506,0.003725121067963865,0.18812302354338858,0.6673588574286627,0.6551724137931034,0.13604594767093658,29,0.3968006807068984
on_off,On/Off-Task,PE_beta_mean_central_right_trimmean,PE_beta,0.0067098312936380005,0.0023199453729404857,0.020984574834608114,-0.2582955324745518,0.41379310344827586,0.45825831964612007,29,0.6682933828172585
on_off,On/Off-Task,PE_beta_mean_frontal_left_trimmean,PE_beta,0.009534862767389246,0.008539393637128447,-0.20893890066961737,-0.8986649841129366,0.5862068965517241,0.45825831964612007,29,0.6682933828172585
on_off,On/Off-Task,PE_beta_mean_frontal_mid_trimmean,PE_beta,0.00750128095351203,0.00920883338721867,-0.17966636754836982,-0.9007584561248015,0.5862068965517241,0.45825831964612007,29,0.6682933828172585
on_off,On/Off-Task,PE_beta_mean_frontal_right_trimmean,PE_beta,0.0060827896468547945,0.015513447070863337,-0.2703897484038434,-0.8902551761829375,0.7241379310344828,0.0241195447742939,29,0.175871680645893
on_off,On/Off-Task,PE_beta_mean_posterior_left_trimmean,PE_beta,0.006983727430792273,0.002727124417026419,0.07618213961026989,0.5448599877719613,0.5862068965517241,0.45825831964612007,29,0.6682933828172585
on_off,On/Off-Task,PE_beta_mean_posterior_mid_trimmean,PE_beta,0.007773316861982661,0.005124027611139109,0.18042599988864239,0.8206424666126094,0.6206896551724138,0.26493089646101,29,0.503944640007356
on_off,On/Off-Task,PE_beta_mean_posterior_right_trimmean,PE_beta,0.006970035200107474,0.006313922058804113,0.21164817638486938,0.8242987308792817,0.6896551724137931,0.06142834573984146,29,0.2559514405826728
on_off,On/Off-Task,PE_gamma_mean_central_left_trimmean,PE_gamma,0.007888819404601559,0.002480690439555493,0.08111850984527393,0.4239172374665665,0.6206896551724138,0.26493089646101,29,0.503944640007356
on_off,On/Off-Task,PE_gamma_mean_central_mid_trimmean,PE_gamma,0.007967696525304276,0.0056719767828444624,0.21935262552858592,0.6844194117491337,0.6551724137931034,0.13604594767093658,29,0.3968006807068984
on_off,On/Off-Task,PE_gamma_mean_central_right_trimmean,PE_gamma,0.00666662866541289,0.002613717924590022,-0.04574789981400326,-0.4301878569548001,0.5517241379310345,0.711071103811264,29,0.8465132188229334
on_off,On/Off-Task,PE_gamma_mean_frontal_left_trimmean,PE_gamma,0.009409023521578685,0.009829162419553278,-0.19554399549926912,-0.8958854591148013,0.5517241379310345,0.711071103811264,29,0.8465132188229334
on_off,On/Off-Task,PE_gamma_mean_frontal_mid_trimmean,PE_gamma,0.007141767313733179,0.008797064977760746,-0.17927074005064367,-0.9007716799438484,0.6206896551724138,0.26493089646101,29,0.503944640007356
on_off,On/Off-Task,PE_gamma_mean_frontal_right_trimmean,PE_gamma,0.0066337316349060985,0.023242343580361466,-0.2808323023341164,-0.8940775488611111,0.6896551724137931,0.06142834573984146,29,0.2559514405826728
on_off,On/Off-Task,PE_gamma_mean_posterior_left_trimmean,PE_gamma,0.00719155026446299,0.0026807819305858095,0.0440105438878365,0.5174770721583486,0.5517241379310345,0.711071103811264,29,0.8465132188229334
on_off,On/Off-Task,PE_gamma_mean_posterior_mid_trimmean,PE_gamma,0.007755573089679308,0.003450856221912755,0.14058818230820383,0.730246849731233,0.6551724137931034,0.13604594767093658,29,0.3968006807068984
on_off,On/Off-Task,PE_gamma_mean_posterior_right_trimmean,PE_gamma,0.007009557878798698,0.005806198982611021,0.1939453084027095,0.8336900323674595,0.6896551724137931,0.06142834573984146,29,0.2559514405826728
on_off,On/Off-Task,PE_theta_mean_central_left_trimmean,PE_theta,0.008155162033913818,0.004226795762329587,-0.08796523760109358,-0.5111889009442493,0.5172413793103449,1.0,29,1.0
on_off,On/Off-Task,PE_theta_mean_central_mid_trimmean,PE_theta,0.007261739456728458,0.0023937509498487292,-0.07277542593438226,-0.19165646081703563,0.3793103448275862,0.26493089646101,29,0.503944640007356
on_off,On/Off-Task,PE_theta_mean_central_right_trimmean,PE_theta,0.009546910006293256,0.006402175821997808,-0.1034645654122259,-0.6664479308951686,0.5862068965517241,0.45825831964612007,29,0.6682933828172585
on_off,On/Off-Task,PE_theta_mean_frontal_left_trimmean,PE_theta,0.0075379099621208255,0.003943579916714604,-0.12595049642806622,-0.6354730003220441,0.5517241379310345,0.711071103811264,29,0.8465132188229334
on_off,On/Off-Task,PE_theta_mean_frontal_mid_trimmean,PE_theta,0.006660124252185671,0.004023064342443496,-0.13357439082793357,-0.7502812840811628,0.5862068965517241,0.45825831964612007,29,0.6682933828172585
on_off,On/Off-Task,PE_theta_mean_frontal_right_trimmean,PE_theta,0.007867909633252254,0.004407638851600496,-0.1526836064494963,-0.7336901150659357,0.5517241379310345,0.711071103811264,29,0.8465132188229334
on_off,On/Off-Task,PE_theta_mean_posterior_left_trimmean,PE_theta,0.008204835542662969,0.009152084941929475,-0.19509073706316213,-0.7679769198088302,0.5862068965517241,0.45825831964612007,29,0.6682933828172585
on_off,On/Off-Task,PE_theta_mean_posterior_mid_trimmean,PE_theta,0.008892144389188703,0.0027370673439375166,-0.08184876011677603,-0.49521121392361805,0.5517241379310345,0.711071103811264,29,0.8465132188229334
on_off,On/Off-Task,PE_theta_mean_posterior_right_trimmean,PE_theta,0.0072879011196398365,0.002678900076954995,-0.1247265401305016,-0.4619773581813632,0.5517241379310345,0.711071103811264,29,0.8465132188229334
on_off,On/Off-Task,kolmogorov_complexity_mean_central_left_trimmean,kolmogorov_complexity,0.006869637305317047,0.0038215839177639923,0.05354438004747794,0.5797983811612142,0.4827586206896552,1.0,29,1.0
on_off,On/Off-Task,kolmogorov_complexity_mean_central_mid_trimmean,kolmogorov_complexity,0.0067706028011973165,0.005245504517167979,0.15226399401063492,0.763092603864786,0.5862068965517241,0.45825831964612007,29,0.6682933828172585
on_off,On/Off-Task,kolmogorov_complexity_mean_central_right_trimmean,kolmogorov_complexity,0.0069866411492821206,0.008514612594294577,0.1389253600148102,0.7733461548855887,0.5862068965517241,0.45825831964612007,29,0.6682933828172585
on_off,On/Off-Task,kolmogorov_complexity_mean_frontal_left_trimmean,kolmogorov_complexity,0.005399308719597936,0.0041850821847111185,-0.020338622690284143,0.044158114945873836,0.20689655172413793,0.002315700054168701,29,0.14227602630853653
on_off,On/Off-Task,kolmogorov_complexity_mean_frontal_mid_trimmean,kolmogorov_complexity,0.005909518556263034,0.004534512308699931,0.06952292136283389,0.736101236600119,0.6206896551724138,0.26493089646101,29,0.503944640007356
