contrast,label,n_subjects,mean_rho_magnitude,mean_noise_ceiling,mean_pct_of_ceiling,legacy_group_rho
on_off,On/Off-Task,29,0.08324339105411252,0.9946443302904423,8.363678806319587,0.4127653381101657
valence,Valence,23,0.07582534770234658,0.9880096740679881,7.643641973506948,0.34763546798029554
selfother,Self/Other,31,0.018553636346995087,0.9920941743712495,1.8645144126207849,0.21967980295566503
time,Time,27,-0.015177223797913454,0.990561915689802,-1.5313781606355659,0.0030295566502463057
confidence,Confidence,23,0.01186458700766842,0.971867348864991,1.3388860306474164,0.30691894312583967
