Group,Inclusion_Exclusion,N,Mean_Raw,SD_Raw,SE_Raw,Mean_Normalized,SD_Normalized,SE_Normalized
Controls,exclusion,30.0,31.893333333333334,7.735673446970272,1.4123342814664537,-1.6399999999999997,3.0821622504227504,0.5627232634824757
Controls,inclusion,27.0,32.888888888888886,6.54930021707154,1.2604134144433092,-1.240740740740741,2.837558438470985,0.5460883760975057
Risk of Depression,exclusion,11.0,22.42727272727273,9.22985275170638,2.7829053134217623,-0.6272727272727273,6.674142777779168,2.012329762832167
Risk of Depression,inclusion,12.0,24.083333333333332,5.9062114196270805,1.7049763765062684,-1.816666666666667,8.341117576454755,2.407873239054236
