Group,Inclusion_Exclusion,N,Mean,SD,SE
Controls,baseline,259,44.189189189189186,25.867561450329045,1.6073320605412622
Controls,inclusion,147,47.816326530612244,23.074335030464628,1.9031390773157664
Controls,exclusion,190,50.921052631578945,23.767370789172695,1.7242663035103236
Risk of Depression,baseline,194,54.08762886597938,27.99810414651981,2.0101467297823024
Risk of Depression,inclusion,122,54.36065573770492,28.821785141451738,2.6094018200585083
Risk of Depression,exclusion,116,46.491379310344826,29.39165681370944,2.7289468258028124
