dimension,marker_name,p_raw,p_bh,sig_bh,sig_by,cluster_stat
onoff,evoked/P1,0.02499500099980004,0.03332666799973339,True,False,-54.47785834206822
onoff,evoked/N1,0.08618276344731053,0.08618276344731053,False,False,-2.777406072524141
onoff,evoked/P3a,0.012997400519896021,0.025994801039792043,True,False,55.503146001435944
onoff,evoked/P3b,0.001999600079984003,0.007998400319936013,True,True,100.3501179877593
onoff,sleep/psd_relative_delta,0.004399120175964807,0.009287031482592372,True,True,34.13968066293575
onoff,sleep/psd_relative_theta,0.0011997600479904018,0.003799240151969606,True,True,61.588844114702376
onoff,sleep/psd_relative_alpha,0.0027994401119776045,0.007123575284943012,True,True,-58.40606047624926
onoff,sleep/psd_relative_beta,0.03679264147170566,0.04369126174765048,True,False,-8.772426932314298
onoff,sleep/psd_relative_gamma,0.0003999200159968006,0.003799240151969606,True,True,-55.906915823062974
onoff,sleep/PE_theta,0.0629874025194961,0.07039768516884858,False,False,-5.497904533339437
onoff,sleep/PE_alpha,0.009798040391921616,0.01692388794968279,True,False,17.12678100757502
onoff,sleep/PE_beta,0.0007998400319936012,0.003799240151969606,True,True,-75.61956507643157
onoff,sleep/PE_gamma,0.0009998000399920016,0.003799240151969606,True,True,-74.1595933440282
onoff,sleep/kolmogorov_complexity,0.08798240351929613,0.0928703148259237,False,False,-3.109948824359
onoff,sleep/wsmi_theta,0.03099380123975205,0.042063015968234925,True,False,5.8854071759047475
onoff,sleep/wsmi_alpha,0.033393321335732855,0.04229820702526162,True,False,5.498470455371601
onoff,sleep/wsmi_beta,0.008798240351929614,0.016716656668666268,True,False,8.285195098459747
onoff,sleep/wsmi_gamma,0.0001999600079984003,0.003799240151969606,True,True,30.063678541225684
onoff,sleep/slowwaves_Density,0.002999400119976005,0.007123575284943012,True,True,-30.63691400317057
onoff,sleep/slowwaves_Duration,0.020195960807838434,0.03197693794574419,True,False,-6.074239439088434
onoff,sleep/slowwaves_Frequency,0.022595480903819236,0.03302416439788965,True,False,5.315528589320701
onoff,sleep/slowwaves_PTP,0.0005998800239952009,0.003799240151969606,True,True,-42.452148191469774
onoff,sleep/slowwaves_Slope,0.21375724855028994,0.21375724855028994,False,False,-2.667608115874049
valence,evoked/P1,1.0,1.0,False,False,
