perm_idx,auc,balanced_accuracy
0,0.5853658536585366,0.5786875725900116
1,0.4889663182346109,0.47038327526132406
2,0.49303135888501737,0.48141695702671317
3,0.4825783972125436,0.5653310104529616
4,0.5127758420441347,0.5426829268292683
5,0.565040650406504,0.5664924506387921
6,0.5429732868757259,0.5542973286875726
7,0.48606271777003485,0.42189314750290363
8,0.5900116144018583,0.5908826945412311
9,0.45934959349593496,0.5058072009291521
10,0.35888501742160284,0.33797909407665505
11,0.5714285714285715,0.5545876887340302
12,0.4953542392566783,0.5429732868757259
13,0.4988385598141696,0.5060975609756098
14,0.5963995354239257,0.5903019744483159
15,0.4849012775842044,0.5304878048780488
16,0.41231126596980255,0.45789779326364694
17,0.4111498257839722,0.4700929152148664
18,0.33855981416957026,0.4085365853658537
19,0.5383275261324042,0.49332171893147503
20,0.5708478513356562,0.6146922183507549
21,0.5662020905923345,0.5542973286875726
22,0.5574912891986062,0.5531358885017422
23,0.45005807200929154,0.4570267131242741
24,0.4849012775842044,0.49535423925667826
25,0.4396051103368177,0.4590592334494774
26,0.5226480836236933,0.5304878048780488
27,0.537746806039489,0.5177119628339141
28,0.4181184668989547,0.4085365853658537
29,0.5052264808362369,0.46980255516840885
30,0.39895470383275256,0.45818815331010454
31,0.6393728222996516,0.5778164924506388
32,0.505226480836237,0.5304878048780488
33,0.554006968641115,0.5667828106852497
34,0.351335656213705,0.40998838559814166
35,0.5238095238095238,0.5662020905923345
36,0.5429732868757259,0.5662020905923345
37,0.4883855981416957,0.5060975609756098
38,0.5720092915214866,0.5055168408826946
39,0.4390243902439024,0.42160278745644597
40,0.6022067363530778,0.6019163763066202
41,0.4709639953542393,0.45760743321718933
42,0.5017421602787457,0.506678281068525
43,0.4372822299651568,0.42102206736353076
44,0.5929152148664344,0.5415214866434379
45,0.38211382113821135,0.3623693379790941
46,0.5801393728222997,0.5301974448315911
47,0.37514518002322883,0.3867595818815331
48,0.416376306620209,0.42044134727061555
49,0.5627177700348432,0.5903019744483159
50,0.5116144018583043,0.5301974448315911
51,0.5238095238095238,0.5063879210220674
52,0.44889663182346107,0.4448315911730546
53,0.467479674796748,0.4695121951219512
54,0.5197444831591173,0.4709639953542393
55,0.5214866434378629,0.4936120789779327
56,0.5464576074332171,0.5653310104529616
57,0.556910569105691,0.5534262485481998
58,0.6022067363530778,0.6030778164924506
59,0.49999999999999994,0.4927409988385598
60,0.40650406504065045,0.4454123112659698
61,0.3832752613240418,0.3972125435540069
62,0.41869918699186986,0.4465737514518002
63,0.5005807200929152,0.506678281068525
64,0.519163763066202,0.5063879210220674
65,0.4326364692218351,0.4462833914053426
66,0.5435540069686411,0.5304878048780488
67,0.40882694541231124,0.4221835075493612
68,0.5104529616724738,0.5418118466898955
69,0.4610917537746806,0.42247386759581884
70,0.5180023228803716,0.5662020905923345
71,0.6358885017421603,0.5908826945412311
72,0.46806039488966317,0.43466898954703836
73,0.5615563298490127,0.5667828106852497
74,0.4680603948896632,0.5293263646922184
75,0.5255516840882695,0.5307781649245064
76,0.4959349593495936,0.5058072009291521
77,0.5975609756097561,0.5418118466898955
78,0.49361207897793263,0.49448315911730545
79,0.5150987224157956,0.5423925667828107
80,0.5696864111498258,0.5900116144018583
81,0.535423925667828,0.49390243902439024
82,0.5923344947735192,0.5908826945412311
83,0.5632984901277585,0.5775261324041812
84,0.4692218350754936,0.506678281068525
85,0.45993031358885017,0.4465737514518002
86,0.5789779326364692,0.5304878048780488
87,0.5760743321718932,0.5429732868757259
88,0.5301974448315911,0.5662020905923345
89,0.4988385598141696,0.4947735191637631
90,0.5278745644599303,0.5301974448315911
91,0.5708478513356563,0.5667828106852497
92,0.5609756097560975,0.5426829268292683
93,0.5185830429732868,0.5049361207897793
94,0.5116144018583042,0.554006968641115
95,0.4430894308943089,0.4567363530778165
96,0.3524970963995354,0.40882694541231124
97,0.49709639953542395,0.5421022067363531
98,0.5139372822299652,0.5304878048780488
99,0.43147502903600465,0.4332171893147503
