subject,n_samples,y_true_majority,y_proba_mean,auc,balanced_accuracy
10,2,-1,0.4278543809131907,1.0,0.5
11,2,-1,0.7774534670058956,1.0,0.5
12,2,-1,0.4244693908004743,0.0,0.0
13,2,-1,0.3553309162687019,1.0,0.5
14,2,-1,0.5254824248241425,1.0,0.5
15,2,-1,0.6686775346135914,1.0,1.0
16,2,-1,0.5301784818786739,0.0,0.0
17,2,-1,0.5895725589198928,0.0,0.5
18,2,-1,0.4537405137734284,1.0,1.0
19,2,-1,0.529918937451381,0.0,0.0
2,2,-1,0.4816747107320052,1.0,1.0
20,2,-1,0.4928463385239478,1.0,1.0
21,2,-1,0.3215613345447462,1.0,0.5
22,2,-1,0.3995525905865316,0.0,0.5
23,2,-1,0.3909864996617274,0.0,0.0
24,2,-1,0.5367495599512455,0.0,0.0
25,2,-1,0.41768306126848975,0.0,0.0
26,2,-1,0.40554321547164474,0.0,0.5
27,2,-1,0.6398239997820505,1.0,1.0
28,2,-1,0.5351621793246801,1.0,1.0
29,2,-1,0.3079806262647401,0.0,0.5
3,2,-1,0.527225098633757,1.0,1.0
30,2,-1,0.6566043462925202,1.0,0.5
31,2,-1,0.5197523450613177,1.0,1.0
32,2,-1,0.5342568091207385,1.0,1.0
33,2,-1,0.10703240694071363,1.0,0.5
34,2,-1,0.42025418081941013,1.0,1.0
35,2,-1,0.32320401427093925,1.0,0.5
36,2,-1,0.42559704726765246,1.0,1.0
37,2,-1,0.6374188398642462,1.0,1.0
38,1,1,0.6034246318387392,,1.0
39,2,-1,0.7978247845748954,0.0,0.5
4,2,-1,0.5250782509055401,0.0,0.5
40,2,-1,0.525560794111213,0.0,0.0
41,2,-1,0.42515305310641793,1.0,0.5
42,2,-1,0.35227607209366885,1.0,0.5
43,2,-1,0.7219212596113477,0.0,0.5
5,2,-1,0.8546235675281921,0.0,0.5
6,2,-1,0.5382936272552051,1.0,1.0
7,2,-1,0.3104087010785731,1.0,0.5
8,2,-1,0.4463832575171348,1.0,0.5
9,2,-1,0.4103819356833652,1.0,0.5
