feature,importance
onoff,0.48795884415611673
omission_rate,0.482412920601661
PC3,0.473435707577216
confidence,0.4076637987907313
valence,0.24438203182551638
PC1,0.23404083337707413
commission_rate,0.2194064879174573
PC2,0.21309820021306838
rtcv,0.2079107482272343
selfother,0.11842876870969007
rt_mean,0.050055236288290596
time,0.04042170058403725
