feature,shap_importance
onoff,0.44182247060804236
confidence,0.3357972400003893
PC3,0.3109742269418594
omission_rate,0.24253918808064998
valence,0.19886290815062604
commission_rate,0.17595266907742696
PC1,0.15678202362672197
rtcv,0.15235971632807435
PC2,0.13608600506442156
selfother,0.09318647658169217
rt_mean,0.03823400186820494
time,0.02994787098131622
