subject,auc,minority_ratio,n_trials
02,0.5763157894736842,0.48717948717948717,39
04,0.5055555555555555,0.5,60
06,0.45833333333333337,0.3142857142857143,35
08,0.59514687100894,0.48214285714285715,56
13,0.4833333333333333,0.375,16
14,0.700952380952381,0.45652173913043476,46
18,0.7083333333333333,0.48936170212765956,47
24,0.7067307692307692,0.48,50
26,0.5806896551724138,0.46296296296296297,54
27,0.540625,0.4444444444444444,36
34,0.44674556213017746,0.5,52
35,0.570644718792867,0.5,54
40,0.5808080808080809,0.45,40
43,0.6114285714285713,0.4716981132075472,53
