subject,auc,auprc,mcc,balanced_accuracy,precision,recall,f1
02,0.5763157894736842,0.6393003529369864,0.22955225023722253,0.6144736842105263,0.6190476190476191,0.65,0.6341463414634146
04,0.5055555555555555,0.5341697690038779,0.03427955850955305,0.5166666666666666,0.5135135135135135,0.6333333333333333,0.5671641791044776
06,0.45833333333333337,0.7462179333587916,0.050251890762960605,0.5265151515151515,0.7142857142857143,0.4166666666666667,0.5263157894736842
08,0.59514687100894,0.6238446763823091,0.2533593918376833,0.6264367816091954,0.6,0.6666666666666666,0.631578947368421
13,0.4833333333333333,0.4731060606060606,-0.09759000729485331,0.45,0.3333333333333333,0.5,0.4
14,0.700952380952381,0.7582727807793658,0.29904761904761906,0.6495238095238096,0.68,0.68,0.68
18,0.7083333333333333,0.7254829260696347,0.3212346488234778,0.6603260869565217,0.64,0.6956521739130435,0.6666666666666666
24,0.7067307692307692,0.7432368872770572,0.19677828887276913,0.5977564102564102,0.6071428571428571,0.6538461538461539,0.6296296296296297
26,0.5806896551724138,0.6317086938440366,0.21591824761972395,0.6075862068965517,0.5833333333333334,0.56,0.5714285714285714
27,0.540625,0.5301784984220267,-0.0125,0.49375,0.4375,0.4375,0.4375
34,0.44674556213017746,0.5489478782131665,-0.11757927025044308,0.4423076923076923,0.45161290322580644,0.5384615384615384,0.49122807017543857
35,0.570644718792867,0.5641965789501088,0.14824986333222023,0.5740740740740741,0.5769230769230769,0.5555555555555556,0.5660377358490566
40,0.5808080808080809,0.6762764271925972,0.23888665095164563,0.6186868686868687,0.5882352941176471,0.5555555555555556,0.5714285714285714
43,0.6114285714285713,0.536978765563131,0.1357142857142857,0.5678571428571428,0.5357142857142857,0.6,0.5660377358490566
