subject,auc,label_std,label_mean
02,0.5763157894736842,10.048667001250672,87.84615384615384
04,0.5055555555555555,24.71278518120589,73.91666666666667
06,0.45833333333333337,19.977844871614302,61.34285714285714
08,0.59514687100894,16.013377118935495,70.16071428571429
13,0.4833333333333333,2.6700499371110427,94.9375
14,0.700952380952381,9.064982793336021,79.21739130434783
18,0.7083333333333333,7.022430034487293,92.8936170212766
24,0.7067307692307692,14.469616301698094,67.24
26,0.5806896551724138,18.849026874510074,71.18518518518519
27,0.540625,13.858468272400918,90.66666666666667
34,0.44674556213017746,23.607804458961223,71.25
35,0.570644718792867,21.09302712157841,31.90740740740741
40,0.5808080808080809,20.23856118834437,61.875
43,0.6114285714285713,19.256744431387954,78.28301886792453
