feature,importance
valence,0.19984525629906985
rt_mean,0.1324996684943727
onoff,0.11095432622782256
time,0.11042929108319453
PC3,0.08311064563140011
confidence,0.07024349976056042
PC2,0.05795072510613654
selfother,0.05284439106281338
omission_rate,0.05165194374786924
PC1,0.04601225185248383
commission_rate,0.04318105150230456
rtcv,0.04127694923197231
