perm_idx,auc,balanced_accuracy
0,0.7333333333333334,0.575
1,0.2638888888888889,0.48333333333333334
2,0.21388888888888888,0.47500000000000003
3,0.375,0.4416666666666667
4,0.44166666666666665,0.43333333333333335
5,0.23055555555555557,0.4166666666666667
6,0.2777777777777778,0.45
7,0.575,0.5333333333333333
8,0.08333333333333333,0.4
9,0.4666666666666667,0.5583333333333333
10,0.45833333333333337,0.47500000000000003
11,0.5527777777777778,0.5333333333333333
12,0.5944444444444446,0.5333333333333333
13,0.275,0.42500000000000004
14,0.3833333333333333,0.5083333333333333
15,0.6888888888888889,0.6083333333333334
16,0.4333333333333333,0.4666666666666667
17,0.3833333333333333,0.45
18,0.36944444444444446,0.43333333333333335
19,0.5027777777777778,0.49166666666666664
20,0.19722222222222222,0.4666666666666667
21,0.4888888888888889,0.4916666666666667
22,0.46944444444444444,0.4916666666666667
23,0.49722222222222223,0.5
24,0.4277777777777778,0.48333333333333334
25,0.2111111111111111,0.48333333333333334
26,0.7277777777777777,0.5666666666666667
27,0.5027777777777778,0.5083333333333333
28,0.37777777777777777,0.45
29,0.5972222222222222,0.4416666666666667
30,0.4,0.5166666666666667
31,0.2888888888888889,0.48333333333333334
32,0.37777777777777777,0.4666666666666667
33,0.5083333333333333,0.5
34,0.4111111111111111,0.4416666666666667
35,0.41666666666666663,0.55
36,0.30833333333333335,0.4166666666666667
37,0.21111111111111114,0.38333333333333336
38,0.3472222222222222,0.47500000000000003
39,0.46111111111111114,0.5083333333333333
40,0.4638888888888889,0.45833333333333337
41,0.4194444444444445,0.48333333333333334
42,0.1361111111111111,0.4166666666666667
43,0.32499999999999996,0.45
44,0.33611111111111114,0.45
45,0.4805555555555556,0.4916666666666667
46,0.12777777777777777,0.43333333333333335
47,0.7611111111111111,0.5666666666666667
48,0.275,0.45
49,0.6305555555555555,0.6083333333333334
50,0.45,0.5416666666666667
51,0.14999999999999997,0.4666666666666667
52,0.5888888888888889,0.4666666666666667
53,0.4222222222222223,0.43333333333333335
54,0.3111111111111111,0.45833333333333337
55,0.3805555555555556,0.43333333333333335
56,0.15555555555555556,0.5
57,0.3333333333333333,0.43333333333333335
58,0.40555555555555556,0.4416666666666667
59,0.26666666666666666,0.47500000000000003
60,0.24722222222222223,0.4666666666666667
61,0.5638888888888889,0.49166666666666664
