subject,n_samples,y_true_majority,y_proba_mean,auc,balanced_accuracy
10,1,0,0.4361913306414382,,1.0
11,1,0,0.1933501714224876,,1.0
12,1,0,0.6713179137607554,,0.0
13,1,0,0.05707317073170731,,1.0
14,1,0,0.10676705895449976,,1.0
15,1,0,0.3765498145989317,,1.0
16,1,0,0.08154414125200642,,1.0
17,1,1,0.12420095499571301,,0.0
18,1,0,0.21610434489205688,,1.0
19,1,0,0.282111879685473,,1.0
2,1,0,0.07450034834665194,,1.0
20,1,0,0.0625353044167936,,1.0
21,1,0,0.26256850810249643,,1.0
22,1,0,0.22629430347483584,,1.0
23,1,1,0.4421974205603169,,0.0
24,1,0,0.22058362760154854,,1.0
25,1,0,0.09934899276518065,,1.0
26,1,0,0.2494310430123069,,1.0
27,1,0,0.20246402854203105,,1.0
28,1,0,0.5295475870177699,,0.0
29,1,1,0.5791743854865449,,1.0
3,1,0,0.4403336913935963,,1.0
30,1,1,0.39329211821033744,,0.0
31,1,1,0.23729323230565227,,0.0
32,1,1,0.2874411670689059,,0.0
33,1,1,0.5373969802961942,,1.0
34,1,1,0.1040743670886076,,0.0
35,1,1,0.47648685476040553,,0.0
36,1,1,0.2562279642598406,,0.0
37,1,1,0.6079914694115242,,1.0
38,1,1,0.48901123166197863,,0.0
39,1,0,0.13053633031472756,,1.0
4,1,0,0.2076908681684329,,1.0
40,1,0,0.23661746322165134,,1.0
41,1,0,0.08730513340789452,,1.0
42,1,0,0.5468975142255188,,0.0
43,1,0,0.1268123949077963,,1.0
5,1,0,0.36297389578930495,,1.0
6,1,0,0.7034386947869018,,0.0
7,1,0,0.038285714285714284,,1.0
8,1,0,0.5650775752981219,,0.0
9,1,0,0.08309642616505278,,1.0
