inclusion_exclusion,subject_id,time
,43,60.0
,43,51.0
,43,89.0
,43,85.0
,43,85.0
,43,49.0
,43,45.0
,43,69.0
,43,49.0
,43,48.0
,43,51.0
,43,7.0
,43,84.0
,43,63.0
,43,89.0
,43,24.0
,43,50.0
,43,95.0
,43,85.0
,43,96.0
,43,47.0
,43,48.0
,43,68.0
,43,72.0
,43,76.0
,43,47.0
,43,50.0
,43,70.0
,43,48.0
,43,48.0
