Group,Inclusion_Exclusion,N,Mean,SD,SE
Controls,baseline,858,63.247086247086244,21.932952295597467,0.7487786453116647
Controls,exclusion,435,62.62988505747126,22.298220233076776,1.0691178290199184
Controls,inclusion,402,63.917910447761194,20.99544488329128,1.0471576143408141
Risk of Depression,baseline,360,52.227777777777774,15.532275877467754,0.8186228169814748
Risk of Depression,exclusion,165,49.03636363636364,15.58841459620124,1.213556430429474
Risk of Depression,inclusion,180,50.422222222222224,17.118370528741337,1.2759280055431548
