group,subject_id,time
,43,51.0
,43,60.0
,43,62.0
,43,58.0
,43,52.0
,43,54.0
,43,61.0
,43,69.0
,43,49.0
,43,28.0
,43,48.0
,43,73.0
,43,44.0
,43,48.0
,43,34.0
,43,60.0
,43,51.0
,43,89.0
,43,85.0
,43,85.0
,43,49.0
,43,45.0
,43,69.0
,43,49.0
,43,48.0
,43,51.0
,43,7.0
,43,84.0
,43,63.0
,43,89.0
,43,51.0
,43,77.0
,43,95.0
,43,98.0
,43,11.0
,43,28.0
,43,84.0
,43,49.0
,43,49.0
,43,23.0
,43,35.0
,43,52.0
,43,49.0
,43,85.0
,43,50.0
,43,24.0
,43,50.0
,43,95.0
,43,85.0
,43,96.0
,43,47.0
,43,48.0
,43,68.0
,43,72.0
,43,76.0
,43,47.0
,43,50.0
,43,70.0
,43,48.0
,43,48.0
