predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01,p_value_bonferroni,significant_corrected
group[T.Risk of Depression],-1.865003487068257,0.5649655208330829,-3.3010925769738533,0.0009630909847488364,-2.9723155604080134,-0.7576914137285009,True,True,0.006741636893241855,True
group[T.Risk of Depression]:inclusion_exclusion[T.inclusion],3.019016138818635,0.955526931647873,3.1595301386347434,0.0015802375549260378,1.146217766530738,4.891814511106531,True,True,0.011061662884482265,True
