predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,0.10641628954863379,0.10160425299648186,1.0473605819661755,0.29493330458419376,-0.09272438700056652,0.3055569660978341,False,False
group[T.Risk of Depression],-0.2730222085921213,0.17226315128760364,-1.5849135845442324,0.11298596961184225,-0.610651780979199,0.06460736379495646,False,False
subject_id Var,0.24101222274946313,0.07112899065590189,3.3883824376954697,0.0007030616065593347,0.10160196280720937,0.38042248269171686,True,True
