predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,0.10647679497707144,0.11535941935235236,0.9230004413584126,0.3560069752244909,-0.11962351223099213,0.33257710218513503,False,False
group[T.Risk of Depression],-0.4721368042649885,0.18354978414021997,-2.5722547508108593,0.010103851376263021,-0.8318877705499208,-0.11238583798005614,True,False
inclusion_exclusion[T.inclusion],0.13369887757515386,0.09668440817024097,1.3828380408528558,0.1667145318761768,-0.055799080305088594,0.32319683545539635,False,False
group[T.Risk of Depression]:inclusion_exclusion[T.inclusion],0.23770925904315704,0.1407633298187877,1.6887157994143298,0.09127390640073199,-0.03818179774559988,0.513600315831914,False,False
subject_id Var,0.26065369181002945,0.09806734771639773,2.6579049793802656,0.007862805842437025,0.06844522222652358,0.4528621613935353,True,True
