predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01,p_value_bonferroni,significant_corrected
group[T.Risk of Depression],-0.6093065770760732,0.19065918658748598,-3.195789240380958,0.0013944893375710215,-0.9829917161092478,-0.23562143804289848,True,True,0.004183468012713064,True
time_on_task,-0.0048802046948649026,0.00211787097917176,-2.3042974491172328,0.02120595206108118,-0.009031155537944133,-0.0007292538517856733,True,False,0.06361785618324353,False
group[T.Risk of Depression]:time_on_task,0.0075051409076975105,0.003177654992030101,2.361848887472431,0.01818405264368025,0.0012770515680246,0.013733230247370422,True,False,0.05455215793104075,False
