predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,-0.22509562129351993,0.21063803329613617,-1.0686371201399218,0.28523321534365287,-0.6379385803282955,0.1877473377412557,False,False
group[T.Risk of Depression],0.5368077342860164,0.3154102090307032,1.7019351907970788,0.08876751802723712,-0.08138491577041207,1.1550003843424448,False,False
inclusion_exclusion[T.inclusion],0.12436438801905804,0.09117730952295337,1.3639839634415842,0.17257261291484294,-0.05433985485319147,0.30306863089130753,False,False
time_on_task,0.005891601158856706,0.0038731900649980775,1.5211236887388924,0.1282288008696277,-0.001699711873817877,0.01348291419153129,False,False
group[T.Risk of Depression]:time_on_task,-0.0227196328567362,0.005707226952835475,-3.9808532312612153,6.866834018439462e-05,-0.033905592135890006,-0.011533673577582391,True,True
subject_id Var,0.31050025367283635,0.11592323139636648,2.6784989508372927,0.007395296384410873,0.08329489516445521,0.5377056121812175,True,True
