marker_name,marker_type,n_clusters,min_cluster_p_uncorrected,min_cluster_p_corrected,n_sig_uncorrected,n_sig_corrected,marker_p_uncorrected,marker_p_corrected,marker_rejected,correction_method,correction_unit,correction_family_size,correction_alpha
evoked/N1,evoked,1,0.1311737652469506,0.2731453709258148,0,0,0.1311737652469506,0.2731453709258148,False,fdr_bh,marker,4,0.05
evoked/P1,evoked,1,0.1365726854629074,0.2731453709258148,0,0,0.1365726854629074,0.2731453709258148,False,fdr_bh,marker,4,0.05
evoked/P3a,evoked,0,,,0,0,1.0,1.0,False,fdr_bh,marker,4,0.05
evoked/P3b,evoked,0,,,0,0,1.0,1.0,False,fdr_bh,marker,4,0.05
sleep/PE_alpha,sleep,4,0.007398520295940812,0.09213157368526295,1,0,0.007398520295940812,0.09213157368526295,False,fdr_bh,marker,19,0.05
sleep/PE_beta,sleep,4,0.08998200359928014,0.1869226154769046,0,0,0.08998200359928014,0.1869226154769046,False,fdr_bh,marker,19,0.05
sleep/PE_gamma,sleep,5,0.09198160367926415,0.1869226154769046,0,0,0.09198160367926415,0.1869226154769046,False,fdr_bh,marker,19,0.05
sleep/PE_theta,sleep,0,,,0,0,1.0,1.0,False,fdr_bh,marker,19,0.05
sleep/kolmogorov_complexity,sleep,3,0.019396120775844832,0.09213157368526295,2,0,0.019396120775844832,0.09213157368526295,False,fdr_bh,marker,19,0.05
sleep/psd_relative_alpha,sleep,1,0.016996600679864027,0.09213157368526295,1,0,0.016996600679864027,0.09213157368526295,False,fdr_bh,marker,19,0.05
sleep/psd_relative_beta,sleep,4,0.09838032393521295,0.1869226154769046,0,0,0.09838032393521295,0.1869226154769046,False,fdr_bh,marker,19,0.05
sleep/psd_relative_delta,sleep,0,,,0,0,1.0,1.0,False,fdr_bh,marker,19,0.05
sleep/psd_relative_gamma,sleep,5,0.016396720655868825,0.09213157368526295,1,0,0.016396720655868825,0.09213157368526295,False,fdr_bh,marker,19,0.05
sleep/psd_relative_theta,sleep,6,0.09258148370325935,0.1869226154769046,0,0,0.09258148370325935,0.1869226154769046,False,fdr_bh,marker,19,0.05
sleep/slowwaves_Density,sleep,0,,,0,0,1.0,1.0,False,fdr_bh,marker,19,0.05
sleep/slowwaves_Duration,sleep,1,0.4573085382923415,0.6206330162538921,0,0,0.4573085382923415,0.6206330162538921,False,fdr_bh,marker,19,0.05
sleep/slowwaves_Frequency,sleep,0,,,0,0,1.0,1.0,False,fdr_bh,marker,19,0.05
sleep/slowwaves_PTP,sleep,1,0.30193961207758446,0.4412963561133927,0,0,0.30193961207758446,0.4412963561133927,False,fdr_bh,marker,19,0.05
sleep/slowwaves_Slope,sleep,4,0.02439512097580484,0.09270145970805839,1,0,0.02439512097580484,0.09270145970805839,False,fdr_bh,marker,19,0.05
sleep/wsmi_alpha,sleep,0,,,0,0,1.0,1.0,False,fdr_bh,marker,19,0.05
sleep/wsmi_beta,sleep,1,0.23315336932613479,0.36915950143304677,0,0,0.23315336932613479,0.36915950143304677,False,fdr_bh,marker,19,0.05
sleep/wsmi_gamma,sleep,1,0.08078384323135374,0.1869226154769046,0,0,0.08078384323135374,0.1869226154769046,False,fdr_bh,marker,19,0.05
sleep/wsmi_theta,sleep,1,0.11197760447910418,0.19341586228208904,0,0,0.11197760447910418,0.19341586228208904,False,fdr_bh,marker,19,0.05
