predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,0.35255343389768434,0.31580488207785956,1.116364736282844,0.26426604165222367,-0.2664127611168392,0.9715196289122079,False,False
group_bdi3[T.Controls High BDI],-0.2825719212176675,0.4080686332861242,-0.692461753166746,0.48864739672545043,-1.0823717456789534,0.5172279032436186,False,False
group_bdi3[T.Risk of Depression],-0.6608518928698066,0.38640723152528944,-1.710247218358685,0.08722016751965767,-1.418196150025204,0.09649236428559083,False,False
inclusion_exclusion[T.inclusion],-1.2805660207215968,0.4109562589370375,-3.1160640405717532,0.0018328246445304707,-2.0860254874595068,-0.4751065539836865,True,True
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion],0.9120522250079531,0.5437592832973586,1.6773087890606015,0.0934821147853342,-0.15369638651418172,1.977800836530088,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion],1.7430776165479465,0.49711797803306074,3.506366081236401,0.00045426996496204846,0.7687442835357737,2.717410949560119,True,True
probe_number,-0.0427842464376552,0.02950043974208871,-1.4502918197729198,0.14697715924246535,-0.10060404586024316,0.015035552984932747,False,False
group_bdi3[T.Controls High BDI]:probe_number,0.0050716868130100045,0.03916753982401008,0.12948698937432399,0.8969723192561962,-0.07169528060508804,0.08183865423110803,False,False
group_bdi3[T.Risk of Depression]:probe_number,0.053702659257332,0.03653272867859088,1.4699876302643429,0.14156510418507984,-0.01790017320967968,0.1253054917243437,False,False
inclusion_exclusion[T.inclusion]:probe_number,0.15160255156688351,0.045818418022064135,3.308768790181241,0.0009370718757443506,0.061800102415036876,0.24140500071873017,True,True
group_bdi3[T.Controls High BDI]:inclusion_exclusion[T.inclusion]:probe_number,-0.07838448190346749,0.05946006495661068,-1.3182710439463254,0.18741293052850272,-0.19492406773683657,0.03815510392990161,False,False
group_bdi3[T.Risk of Depression]:inclusion_exclusion[T.inclusion]:probe_number,-0.19158258113511487,0.05488661522180425,-3.4905154992870977,0.00048208964850309275,-0.2991583702031591,-0.08400679206707062,True,True
subject_id Var,0.11963963845687833,0.05510400113025884,2.171160641748418,0.029919031349249198,0.011637780837516584,0.22764149607624007,True,False
