perm_idx,n_converged,n_warnings,n_failed,n_insufficient_data,convergence_rate,n_nan_t,is_degenerate
2751,63,1,0,0,0.984375,0,False
2752,62,2,0,0,0.96875,0,False
2753,62,2,0,0,0.96875,0,False
2754,61,3,0,0,0.953125,0,False
2755,62,2,0,0,0.96875,0,False
2756,63,1,0,0,0.984375,0,False
2757,63,1,0,0,0.984375,0,False
2758,63,1,0,0,0.984375,0,False
2759,64,0,0,0,1.0,0,False
2760,62,2,0,0,0.96875,0,False
2761,62,2,0,0,0.96875,0,False
2762,63,1,0,0,0.984375,0,False
2763,63,1,0,0,0.984375,0,False
2764,61,2,1,0,0.953125,1,False
2765,63,1,0,0,0.984375,0,False
2766,63,1,0,0,0.984375,0,False
2767,63,1,0,0,0.984375,0,False
2768,61,3,0,0,0.953125,0,False
2769,62,2,0,0,0.96875,0,False
2770,63,1,0,0,0.984375,0,False
2771,64,0,0,0,1.0,0,False
2772,62,2,0,0,0.96875,0,False
2773,62,2,0,0,0.96875,0,False
2774,62,2,0,0,0.96875,0,False
2775,63,1,0,0,0.984375,0,False
2776,62,2,0,0,0.96875,0,False
2777,62,2,0,0,0.96875,0,False
2778,62,2,0,0,0.96875,0,False
2779,62,2,0,0,0.96875,0,False
2780,64,0,0,0,1.0,0,False
2781,62,2,0,0,0.96875,0,False
2782,63,1,0,0,0.984375,0,False
2783,63,1,0,0,0.984375,0,False
2784,64,0,0,0,1.0,0,False
2785,64,0,0,0,1.0,0,False
2786,63,1,0,0,0.984375,0,False
2787,63,1,0,0,0.984375,0,False
2788,61,3,0,0,0.953125,0,False
2789,63,1,0,0,0.984375,0,False
2790,63,1,0,0,0.984375,0,False
2791,63,1,0,0,0.984375,0,False
2792,61,3,0,0,0.953125,0,False
2793,63,1,0,0,0.984375,0,False
2794,63,1,0,0,0.984375,0,False
2795,62,2,0,0,0.96875,0,False
2796,62,2,0,0,0.96875,0,False
2797,63,1,0,0,0.984375,0,False
2798,62,2,0,0,0.96875,0,False
2799,64,0,0,0,1.0,0,False
2800,64,0,0,0,1.0,0,False
2801,63,1,0,0,0.984375,0,False
2802,64,0,0,0,1.0,0,False
2803,62,2,0,0,0.96875,0,False
2804,63,1,0,0,0.984375,0,False
2805,62,2,0,0,0.96875,0,False
2806,63,1,0,0,0.984375,0,False
2807,63,1,0,0,0.984375,0,False
2808,63,1,0,0,0.984375,0,False
2809,62,2,0,0,0.96875,0,False
2810,62,2,0,0,0.96875,0,False
2811,63,1,0,0,0.984375,0,False
2812,62,2,0,0,0.96875,0,False
2813,64,0,0,0,1.0,0,False
2814,62,2,0,0,0.96875,0,False
2815,63,1,0,0,0.984375,0,False
2816,61,3,0,0,0.953125,0,False
2817,62,2,0,0,0.96875,0,False
2818,64,0,0,0,1.0,0,False
2819,62,2,0,0,0.96875,0,False
2820,63,1,0,0,0.984375,0,False
2821,62,2,0,0,0.96875,0,False
2822,61,3,0,0,0.953125,0,False
2823,62,2,0,0,0.96875,0,False
2824,63,1,0,0,0.984375,0,False
2825,62,2,0,0,0.96875,0,False
2826,62,2,0,0,0.96875,0,False
2827,64,0,0,0,1.0,0,False
2828,62,2,0,0,0.96875,0,False
2829,63,1,0,0,0.984375,0,False
