marker,moderator,interaction_term,estimate,std_error,t_value,p_value,n_obs,n_subjects,converged,p_fdr,significant_fdr,marker_label,moderator_label
omission_rate,valence,onoff:valence,-1.9416307487193923e-07,3.456638974150866e-06,-0.05617105990064698,0.9552055356049013,2460,42,True,0.9596933006129534,False,Omission Rate,Valence
omission_rate,selfother,onoff:selfother,-5.153420137241976e-07,2.387368639697672e-06,-0.21586193483276161,0.8290953691631915,2460,42,True,0.9331757889624983,False,Omission Rate,Self/Other
omission_rate,time,onoff:time,-1.2192527301328115e-05,3.659547313602147e-06,-3.3317036935168978,0.0008631610603366221,2460,42,True,0.01208425484471271,True,Omission Rate,Time (probe dim.)
omission_rate,present,onoff:present,1.0026820219615862e-05,4.764630350991203e-06,2.1044277270176783,0.035341152882603366,2460,42,True,0.24738807017822356,False,Omission Rate,Present
omission_rate,confidence,onoff:confidence,4.77430382495955e-06,4.093692238921824e-06,1.1662586111302256,0.24350990175484333,2460,42,True,0.6918681625539705,False,Omission Rate,Confidence
omission_rate,time_on_task,onoff:time_on_task,-1.4193673262806047e-05,3.502494265948787e-06,-4.0524472518904,5.068465378204597e-05,2460,42,True,0.001419170305897287,True,Omission Rate,Time on Task
omission_rate,valence_sq,onoff:valence_sq,-1.1184286926623255e-05,4.681951876405258e-06,-2.3888086041607086,0.016903105608285375,2460,42,True,0.1577623190106635,False,Omission Rate,Valence² (curvature)
commission_rate,valence,onoff:valence,6.068828122495313e-06,1.4968504365291529e-05,0.40543984718790677,0.6851542259044074,1613,42,True,0.9135389678725433,False,Commission Rate,Valence
commission_rate,selfother,onoff:selfother,6.268126949062611e-06,1.0093601064770757e-05,0.6210000681461421,0.5345995783405815,1613,42,True,0.9135389678725433,False,Commission Rate,Self/Other
commission_rate,time,onoff:time,1.3401059494563e-05,1.531017182275687e-05,0.8753043172672832,0.38140834568370385,1613,42,True,0.8899528065953091,False,Commission Rate,Time (probe dim.)
commission_rate,present,onoff:present,-3.2754309664553364e-05,1.99177356671941e-05,-1.6444795840172735,0.10007717805259853,1613,42,True,0.5506767246911068,False,Commission Rate,Present
commission_rate,confidence,onoff:confidence,9.258430826335557e-07,1.831957390550615e-05,0.05053846161538088,0.9596933006129534,1613,42,True,0.9596933006129534,False,Commission Rate,Confidence
commission_rate,time_on_task,onoff:time_on_task,9.163384962638488e-06,1.6302809625267332e-05,0.5620739721106954,0.5740656209832529,1613,42,True,0.9135389678725433,False,Commission Rate,Time on Task
commission_rate,valence_sq,onoff:valence_sq,-1.5032451565270078e-05,2.0083036096379453e-05,-0.7485148905339124,0.45414964684211634,1613,42,True,0.8998481956949103,False,Commission Rate,Valence² (curvature)
total_errors,valence,onoff:valence,6.687355755612808e-06,1.58080610639747e-05,0.42303453463073687,0.6722700647003943,1613,42,True,0.9135389678725433,False,Total Errors,Valence
total_errors,selfother,onoff:selfother,7.4937998404076e-06,1.0659884460173558e-05,0.7029907189337014,0.48206153340798763,1613,42,True,0.8998481956949103,False,Total Errors,Self/Other
total_errors,time,onoff:time,3.4566707595731226e-06,1.6412767952101885e-05,0.2106086413736476,0.8331926687165164,1613,42,True,0.9331757889624983,False,Total Errors,Time (probe dim.)
total_errors,present,onoff:present,-2.009512401254378e-05,2.100563438895582e-05,-0.9566539929453043,0.3387419268196874,1613,42,True,0.8622521773592043,False,Total Errors,Present
total_errors,confidence,onoff:confidence,5.748526506667162e-06,1.903659693083888e-05,0.3019723812796956,0.7626731172468466,1613,42,True,0.9331757889624983,False,Total Errors,Confidence
total_errors,time_on_task,onoff:time_on_task,-4.949326347946291e-06,1.680385556613233e-05,-0.29453516358004833,0.7683489977445457,1613,42,True,0.9331757889624983,False,Total Errors,Time on Task
total_errors,valence_sq,onoff:valence_sq,-3.006664827906174e-05,2.126222589442277e-05,-1.4140875197336902,0.15733620705460194,1613,42,True,0.5506767246911068,False,Total Errors,Valence² (curvature)
rtcv,valence,onoff:valence,-3.4295279300272514e-06,4.777713622964471e-06,-0.7178178100803164,0.47286963037932384,2444,42,True,0.8998481956949103,False,RTCV (RT Variability),Valence
rtcv,selfother,onoff:selfother,-5.084564211953729e-06,3.2534052371688356e-06,-1.5628438025071838,0.11808933854513991,2444,42,True,0.5506767246911068,False,RTCV (RT Variability),Self/Other
rtcv,time,onoff:time,2.685543883370261e-06,4.984866402510366e-06,0.5387393896891254,0.5900666904244523,2444,42,True,0.9135389678725433,False,RTCV (RT Variability),Time (probe dim.)
rtcv,present,onoff:present,-7.498307142970174e-06,6.478397880679427e-06,-1.1574323283434675,0.2470957723407038,2444,42,True,0.6918681625539705,False,RTCV (RT Variability),Present
rtcv,confidence,onoff:confidence,8.366482023229666e-06,5.718377370962727e-06,1.4630867255654927,0.1434436496760568,2444,42,True,0.5506767246911068,False,RTCV (RT Variability),Confidence
rtcv,time_on_task,onoff:time_on_task,-2.417882082907101e-06,4.944512652302251e-06,-0.4890031137409048,0.6248394924169458,2444,42,True,0.9135389678725433,False,RTCV (RT Variability),Time on Task
rtcv,valence_sq,onoff:valence_sq,4.519056562033561e-07,6.444461919467833e-06,0.07012310133111521,0.9440956797558977,2444,42,True,0.9596933006129534,False,RTCV (RT Variability),Valence² (curvature)
