subject,auc,subject_median,dist_from_50
03,0.3333333333333333,68.0,18.0
05,0.5674603174603174,87.0,37.0
06,0.3630434782608696,58.0,8.0
08,0.46153846153846156,85.0,35.0
10,0.6136363636363635,83.0,33.0
12,0.7076023391812866,68.0,18.0
14,0.25,79.0,29.0
15,0.6,75.0,25.0
19,0.3626373626373627,57.0,7.0
20,0.2222222222222222,92.0,42.0
22,0.640625,81.0,31.0
23,0.5833333333333333,83.0,33.0
24,0.7291666666666667,72.5,22.5
25,0.4359504132231405,83.5,33.5
26,0.5222222222222221,80.0,30.0
28,0.5833333333333333,78.5,28.5
29,0.5208333333333334,71.0,21.0
30,0.5984,70.0,20.0
31,0.3668478260869565,47.0,3.0
32,0.4975,77.5,27.5
33,0.564327485380117,94.0,44.0
35,0.4923076923076923,73.0,23.0
36,0.8095238095238095,90.5,40.5
37,0.505,49.0,1.0
38,0.5027777777777778,50.0,0.0
39,0.5277777777777778,78.0,28.0
40,0.5909090909090909,82.0,32.0
41,0.44375,73.5,23.5
42,0.6294642857142858,79.0,29.0
43,0.35,87.0,37.0
