Group,Inclusion_Exclusion,N,Mean_Raw,SD_Raw,SE_Raw,Mean_Normalized,SD_Normalized,SE_Normalized
Controls,inclusion,113,61.9646017699115,20.934391220608656,1.9693418688132929,-0.9876106194690258,16.686177980859902,1.5697035840157787
Controls,exclusion,144,60.25,19.788214335139656,1.649017861261638,-3.9087962962962957,17.46096411569059,1.4550803429742158
Risk of Depression,inclusion,106,55.179245283018865,14.977314381812388,1.45472537151345,1.5062893081761002,15.041990688649173,1.461007289759455
Risk of Depression,exclusion,106,40.443396226415096,18.197373012230948,1.7674851138821541,-12.104402515723272,15.48868170169895,1.5043937563411842
