mood_scale,thought_dim,a_coef,a_se,b_coef,b_se,ab_effect,ci_lower,ci_upper,is_significant,time_on_mood,time_on_mood_se,time_on_thought,time_on_thought_se
EVAaverage,onoff,-2.0394446212292556,0.6410634372692652,0.08029863632792711,0.0436103562793135,-0.1653192889961912,-0.40721829980918633,0.00938735082443379,False,0.15792418823473453,0.11575774146855104,-0.09709659080803834,0.04770654255047613
EVAaverage,valence,-2.0394446212292556,0.6410634372692652,0.172063526728759,0.05115082600195259,-0.35284415386506135,-0.7025870971407923,-0.09325126860405111,True,0.15792418823473453,0.11575774146855104,-0.09358383942607651,0.06353173840390648
EVAaverage,time,-2.0394446212292556,0.6410634372692652,0.0016997643139357703,0.05451724793457841,-0.005274937779912999,-0.24206859230767122,0.22889090525552758,False,0.15792418823473453,0.11575774146855104,-0.025974322842939792,0.10259140694906177
EVAaverage,selfother,-2.0394446212292556,0.6410634372692652,0.18768482766634212,0.054400795827943035,-0.384831986567312,-0.7610748152527389,-0.10335444057376744,True,0.15792418823473453,0.11575774146855104,0.06053501383694,0.06999144029126728
EVAaverage,confidence,-2.0394446212292556,0.6410634372692652,0.11474957419668884,0.049934066535548306,-0.23583673307539044,-0.5301516561980637,-0.025348333870131738,True,0.15792418823473453,0.11575774146855104,-0.10116088347127723,0.0561563077709831
EVAaverage,pca1,-2.0394446212292556,0.6410634372692652,0.19658402642326583,0.053649396526666025,-0.40296870309898386,-0.783768352980832,-0.11460075302718657,True,0.15792418823473453,0.11575774146855104,-0.05016539000541215,0.07119096132699054
EVAmood,onoff,-2.061795823428515,0.5999186694345774,0.14870723206762257,0.044037557565946926,-0.3082510753084015,-0.6002408937616853,-0.09052900813769549,True,0.13437580834378587,0.11167313263541813,-0.10249388783671351,0.045880652113097886
EVAmood,valence,-2.061795823428515,0.5999186694345774,0.21169541069857792,0.05187492208094059,-0.43845977869137803,-0.8128997186348511,-0.14656174806247865,True,0.13437580834378587,0.11167313263541813,-0.0954413139658528,0.061257178620649805
EVAmood,time,-2.061795823428515,0.5999186694345774,0.01715077962315701,0.06367413272416252,-0.03748944439616595,-0.3198861359178114,0.23139706824574383,False,0.13437580834378587,0.11167313263541813,-0.004385906951707604,0.09358298605168432
EVAmood,selfother,-2.061795823428515,0.5999186694345774,0.1799285249738527,0.05725890865260115,-0.37310031846061503,-0.7406033443775737,-0.09992884334243256,True,0.13437580834378587,0.11167313263541813,0.06668603608852534,0.06864024408985431
EVAmood,confidence,-2.061795823428515,0.5999186694345774,0.12525681773213607,0.052101805080808306,-0.260137789203638,-0.5637837530825978,-0.037148042056804324,True,0.13437580834378587,0.11167313263541813,-0.09916610530074757,0.05561938090669371
EVAmood,pca1,-2.061795823428515,0.5999186694345774,0.23024050426053702,0.054950500526719355,-0.47682146578654067,-0.8790652451092611,-0.16156708987855264,True,0.13437580834378587,0.11167313263541813,-0.05163389172855923,0.06820594595970732
EVAfeel,onoff,-2.2888608747172534,0.7049073011383624,0.027279958544479527,0.03825386550935978,-0.06389855193189513,-0.2664937537143422,0.11139480079259124,False,0.14961313843565233,0.13802573913306448,-0.08800938376714942,0.04844821816466006
EVAfeel,valence,-2.2888608747172534,0.7049073011383624,0.10721507201211321,0.04586226532165781,-0.24726118100716593,-0.5492315506791292,-0.029542739313763163,True,0.14961313843565233,0.13802573913306448,-0.08121274203891267,0.06446836704245959
EVAfeel,time,-2.2888608747172534,0.7049073011383624,-0.05106856818749663,0.0521932782318865,0.1150317856262247,-0.11866636908175761,0.3977223670407767,False,0.14961313843565233,0.13802573913306448,0.008992665484970637,0.09278984573422758
EVAfeel,selfother,-2.2888608747172534,0.7049073011383624,0.09805068276863327,0.049277806608135404,-0.22639792894550023,-0.5368397645616748,-0.002024665902901179,True,0.14961313843565233,0.13802573913306448,0.07774175785729279,0.07104220851466073
EVAfeel,confidence,-2.2888608747172534,0.7049073011383624,0.07708613277564876,0.04312958580426487,-0.17815361063718177,-0.44026266106458606,0.015279312897222778,False,0.14961313843565233,0.13802573913306448,-0.0942835792217078,0.05651598256838371
EVAfeel,pca1,-2.2888608747172534,0.7049073011383624,0.09773662848872179,0.04989641365720811,-0.2257015512139662,-0.5386291079499039,0.00041644378783847925,False,0.14961313843565233,0.13802573913306448,-0.03136882769729898,0.07280532903090821
EVAtense,onoff,-2.2361220686033674,0.797189322293616,0.0499740524250061,0.035643891205824875,-0.11315682617897468,-0.32577393308943564,0.042194690243778435,False,0.3383230715742098,0.14271038894675148,-0.10211697651117159,0.04881975098301622
EVAtense,valence,-2.2361220686033674,0.797189322293616,0.11084271316301346,0.04177419586575994,-0.24959787911092626,-0.5540175312423412,-0.035069659301754624,True,0.3383230715742098,0.14271038894675148,-0.10197564143081142,0.0645862265565077
EVAtense,time,-2.2361220686033674,0.797189322293616,-0.003944160654006665,0.04767762811103439,0.007055813524642592,-0.22122270744874736,0.23804128622528606,False,0.3383230715742098,0.14271038894675148,0.0007393534636542761,0.09443595831274622
EVAtense,selfother,-2.2361220686033674,0.797189322293616,0.17082907164074307,0.043643651651706306,-0.3839062658430731,-0.7649086910311009,-0.09209875111333146,True,0.3383230715742098,0.14271038894675148,0.031242217090939862,0.07149363902732984
EVAtense,confidence,-2.2361220686033674,0.797189322293616,0.06203421357290248,0.041268645421629266,-0.14035423194040555,-0.39093757881538505,0.04112519483940644,False,0.3383230715742098,0.14271038894675148,-0.10415977100055161,0.058490064580204476
EVAtense,pca1,-2.2361220686033674,0.797189322293616,0.14641970206466234,0.043352731856148075,-0.32927156857107237,-0.6809893089146382,-0.07002449073313713,True,0.3383230715742098,0.14271038894675148,-0.06667025881968187,0.07172274626031121
EVAhurt,onoff,-1.5901048140614165,0.8668888967219744,0.04122982731771985,0.03395634167504014,-0.06662058507107967,-0.23878807648677358,0.04224754088014877,False,0.027212543663956174,0.14858101080324274,-0.08634787858769914,0.04763555149753216
EVAhurt,valence,-1.5901048140614165,0.8668888967219744,0.10411179842593689,0.04028364329652792,-0.16690939323869217,-0.4381791379545117,0.015049769987228744,False,0.027212543663956174,0.14858101080324274,-0.06690537268048696,0.06399440708997416
EVAhurt,time,-1.5901048140614165,0.8668888967219744,0.007119682541737965,0.04527213798621281,-0.012646797578339294,-0.19265623340358604,0.15202587197990874,False,0.027212543663956174,0.14858101080324274,-0.0007631099875901728,0.0927537705152339
EVAhurt,selfother,-1.5901048140614165,0.8668888967219744,0.11481685223307958,0.04235080181432053,-0.18401130597981236,-0.47520846335702854,0.015200636671825871,False,0.027212543663956174,0.14858101080324274,0.09090933668721363,0.06985941914808592
EVAhurt,confidence,-1.5901048140614165,0.8668888967219744,0.08622673621976285,0.03844540069949952,-0.1383838565889968,-0.38019797382010095,0.016159126443363824,False,0.027212543663956174,0.14858101080324274,-0.08582422756049411,0.05537540952434484
EVAhurt,pca1,-1.5901048140614165,0.8668888967219744,0.12390726285928243,0.042232954524303104,-0.19847942728982818,-0.5010865013428096,0.013508874664341624,False,0.027212543663956174,0.14858101080324274,-0.01796307772104046,0.07161270789304841
