predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,-0.225767601150782,0.23169850704151357,-0.9744024855124814,0.32985673585682185,-0.6798883302238488,0.2283531279222847,False,False
inclusion_exclusion[T.inclusion],0.41185421722366355,0.3092556619895138,1.3317596663359672,0.18293917564629536,-0.19427574229087607,1.0179841767382032,False,False
subject_id Var,0.16098654810643867,0.21237863151486033,0.758016693855447,0.4484409889716683,-0.25526792074859084,0.5772410169614682,False,False
