,onoff,valence,selfother,time,confidence
onoff,0.6338852990456809,0.5634599280949166,0.5703519430236389,0.4907555095758333,0.6117881692083257
valence,0.4983689252709588,0.5571682138837327,0.5451434608277603,0.5308360454631212,0.537288514655939
selfother,0.605175441286198,0.5422549928619957,0.5690005310568933,0.5230259709726776,0.5759036414047856
time,0.5400263883448226,0.49795749344450646,0.44040968479636844,0.5109846610149561,0.4487585612571024
confidence,0.6475072411278359,0.604234850932112,0.5360598836197937,0.40821399968517147,0.6038296477766886
