Group,Inclusion_Exclusion,N,Mean,SD,SE
Controls,inclusion,113,61.9646017699115,20.934391220608656,1.9693418688132929
Controls,exclusion,144,60.25,19.788214335139656,1.649017861261638
Risk of Depression,inclusion,106,55.179245283018865,14.977314381812388,1.45472537151345
Risk of Depression,exclusion,106,40.443396226415096,18.197373012230948,1.7674851138821541
