Group,Inclusion_Exclusion,N,Mean,SD,SE
Controls,inclusion,104,77.5673076923077,18.93512912581275,1.856742171248429
Controls,exclusion,119,73.18487394957984,18.312247631883807,1.6786809881356308
Risk of Depression,inclusion,98,56.33673469387755,26.10286703751853,2.636787755805737
Risk of Depression,exclusion,104,73.22115384615384,22.944829030486098,2.24992559543267
