predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,60.78919370182869,3.130422329875697,19.418847457634417,5.347662420000694e-84,54.65367867887235,66.92470872478502,True,True
group[T.Risk of Depression],-9.063537638379902,5.138903063367541,-1.7637105675312221,0.07778072103966585,-19.135602562622836,1.0085272858630336,False,False
inclusion_exclusion[T.exclusion],1.1812085386318456,1.4180640746502196,0.8329726136833437,0.4048601748003203,-1.5981459754527032,3.9605630527163944,False,False
inclusion_exclusion[T.inclusion],1.2171640129098067,1.540501417599511,0.7901089859472213,0.42946412245035104,-1.802163283718133,4.2364913095377466,False,False
group[T.Risk of Depression]:inclusion_exclusion[T.exclusion],-9.141132172335636,2.194354300684784,-4.165750339169476,3.1033017341107255e-05,-13.44198757099839,-4.840276773672883,True,True
group[T.Risk of Depression]:inclusion_exclusion[T.inclusion],3.6557037855691297,2.219158380976942,1.6473379353661886,0.09948860462322516,-0.693766717135893,8.005174288274151,False,False
time_on_task,-0.056880351106341986,0.029374967012612177,-1.9363545525658068,0.052824291652548934,-0.114454228498114,0.0006935262854300267,False,False
subject_id Var,0.9337770480192991,0.24713917734504678,3.778344890723632,0.00015787413591499422,0.44939316125415013,1.418160934784448,True,True
