subject,fold_idx,auc,auprc,mcc,balanced_accuracy,precision,recall,f1,n_samples,n_positive,n_negative,run_idx
03,0,0.7261904761904762,0.7320090258325553,0.23809523809523808,0.6190476190476191,0.5714285714285714,0.6666666666666666,0.6153846153846154,26,12,14,0
05,1,0.43892339544513453,0.43376545674201583,-0.08282943498909671,0.45962732919254656,0.4444444444444444,0.5714285714285714,0.5,44,21,23,0
06,2,0.43447293447293445,0.49778354847914474,-0.021552525004661323,0.48931623931623935,0.4782608695652174,0.4230769230769231,0.4489795918367347,53,26,27,0
08,3,0.5759637188208617,0.6162657142330963,0.14350946197048198,0.5714285714285714,0.5652173913043478,0.6190476190476191,0.5909090909090909,42,21,21,0
10,4,0.608173076923077,0.5476041725439993,0.13275355184224388,0.5600961538461539,0.41935483870967744,0.8125,0.5531914893617021,42,16,26,0
12,5,0.640625,0.715936261548261,0.30237157840738177,0.65,0.7333333333333333,0.55,0.6285714285714286,36,20,16,0
14,6,0.7012987012987013,0.701646481537786,0.23028309323591914,0.6136363636363636,0.5333333333333333,0.7272727272727273,0.6153846153846154,25,11,14,0
15,7,0.5178571428571428,0.44391684704184703,-0.052414241836095915,0.4732142857142857,0.3333333333333333,0.375,0.35294117647058826,22,8,14,0
17,8,0.6785714285714286,0.6662488553113554,0.21428571428571427,0.6071428571428572,0.5,0.5,0.5,22,8,14,0
18,9,0.4555555555555556,0.6164194577352472,-0.06900655593423542,0.4666666666666667,0.5,0.6,0.5454545454545454,19,10,9,0
19,10,0.44642857142857145,0.5230429292929293,-0.32732683535398854,0.3392857142857143,0.3333333333333333,0.25,0.2857142857142857,15,8,7,0
21,11,0.7947368421052632,0.7374705007498967,0.48807911397944004,0.7421052631578948,0.7647058823529411,0.6842105263157895,0.7222222222222222,39,19,20,0
22,12,0.6052631578947368,0.7319835525764178,0.08852506597852129,0.544407894736842,0.5882352941176471,0.5263157894736842,0.5555555555555556,35,19,16,0
23,13,0.6527777777777778,0.6074397781441125,0.338869496834943,0.6666666666666667,0.5263157894736842,0.8333333333333334,0.6451612903225806,30,12,18,0
24,14,0.6256410256410256,0.6537278943393494,0.062017367294604234,0.5307692307692308,0.5625,0.6,0.5806451612903226,28,15,13,0
25,15,0.5694444444444444,0.567774940950067,0.08451542547285165,0.5416666666666666,0.5357142857142857,0.625,0.5769230769230769,48,24,24,0
26,16,0.5657894736842106,0.6158167223948285,0.21523650802306962,0.606907894736842,0.6666666666666666,0.5263157894736842,0.5882352941176471,35,19,16,0
27,17,0.375,0.33882489636799984,-0.08084520834544433,0.45833333333333337,0.3333333333333333,0.4166666666666667,0.37037037037037035,32,12,20,0
28,18,0.6177685950413223,0.5836293841020481,0.2333800140046683,0.6136363636363636,0.6470588235294118,0.5,0.5641025641025641,44,22,22,0
29,19,0.385989010989011,0.45439403635457765,-0.18681318681318682,0.4065934065934066,0.38461538461538464,0.38461538461538464,0.38461538461538464,54,26,28,0
30,20,0.8083735909822866,0.8015029052624096,0.4363929146537842,0.7181964573268921,0.7407407407407407,0.7407407407407407,0.7407407407407407,50,27,23,0
31,21,0.5161904761904761,0.471754708341349,0.13904761904761906,0.5695238095238095,0.52,0.6190476190476191,0.5652173913043478,46,21,25,0
32,22,0.7649572649572649,0.8161244931510965,0.43447293447293445,0.7172364672364673,0.7037037037037037,0.7307692307692307,0.7169811320754716,53,26,27,0
33,23,0.653061224489796,0.7917515757990106,0.408248290463863,0.7142857142857142,0.8888888888888888,0.5714285714285714,0.6956521739130435,21,14,7,0
34,24,0.6604278074866311,0.6531933310507929,0.10242922486066584,0.5508021390374331,0.4782608695652174,0.6470588235294118,0.55,39,17,22,0
35,25,0.6766666666666666,0.6913097257246874,0.36424639819288707,0.6833333333333333,0.7368421052631579,0.7,0.717948717948718,35,20,15,0
36,26,0.7916666666666666,0.6074786324786324,0.38575837490522974,0.7083333333333333,0.5,0.6666666666666666,0.5714285714285714,22,6,16,0
37,27,0.63671875,0.6578151211710994,0.06262242910851495,0.53125,0.5294117647058824,0.5625,0.5454545454545454,32,16,16,0
38,28,0.49318181818181817,0.4870004493827481,-0.08787448511194726,0.45681818181818185,0.47058823529411764,0.36363636363636365,0.41025641025641024,42,22,20,0
39,29,0.6111111111111112,0.5463242713200455,0.21821789023599236,0.6111111111111112,0.5,0.6666666666666666,0.5714285714285714,30,12,18,0
40,30,0.5152941176470588,0.6776556503629809,0.0072310152606218725,0.5035294117647059,0.6,0.36,0.45,42,25,17,0
41,31,0.5675057208237987,0.6872107243439114,0.038901601830663615,0.5194508009153318,0.5652173913043478,0.5652173913043478,0.5652173913043478,42,23,19,0
42,32,0.6885714285714286,0.7054750068650059,0.3280815760225672,0.6635714285714285,0.7083333333333334,0.6071428571428571,0.6538461538461539,53,28,25,0
43,33,0.4086956521739131,0.49784424055963006,-0.0817391304347826,0.45913043478260873,0.4782608695652174,0.44,0.4583333333333333,48,25,23,0
