subject,auc,subject_median,dist_from_50
03,0.7261904761904762,40.5,9.5
05,0.43892339544513453,13.5,36.5
06,0.43447293447293445,13.0,37.0
08,0.5759637188208617,7.5,42.5
10,0.608173076923077,45.0,5.0
12,0.640625,28.0,22.0
14,0.7012987012987013,71.0,21.0
15,0.5178571428571428,78.0,28.0
17,0.6785714285714286,78.0,28.0
18,0.4555555555555556,5.0,45.0
19,0.44642857142857145,60.0,10.0
21,0.7947368421052632,83.0,33.0
22,0.6052631578947368,87.0,37.0
23,0.6527777777777778,73.5,23.5
24,0.6256410256410256,66.5,16.5
25,0.5694444444444444,70.0,20.0
26,0.5657894736842106,97.0,47.0
27,0.375,55.0,5.0
28,0.6177685950413223,68.0,18.0
29,0.385989010989011,23.5,26.5
30,0.8083735909822866,48.5,1.5
31,0.5161904761904761,24.0,26.0
32,0.7649572649572649,30.0,20.0
33,0.653061224489796,13.0,37.0
34,0.6604278074866311,27.0,23.0
35,0.6766666666666666,38.0,12.0
36,0.7916666666666666,83.0,33.0
37,0.63671875,44.0,6.0
38,0.49318181818181817,21.5,28.5
39,0.6111111111111112,74.5,24.5
40,0.5152941176470588,73.5,23.5
41,0.5675057208237987,53.5,3.5
42,0.6885714285714286,43.0,7.0
43,0.4086956521739131,87.5,37.5
