feature_name,mean_importance,std_importance,rank
wsmi_alpha_mean_posterior_right_trimmean,0.005165214558644668,,92
psd_relative_delta_mean_central_right_trimmean,0.005161353974523534,,93
PE_gamma_mean_posterior_right_trimmean,0.005155376587191614,,94
PE_beta_mean_frontal_mid_trimmean,0.005140032222347761,,95
psd_relative_beta_mean_frontal_left_trimmean,0.005136786317396801,,96
PE_beta_mean_central_mid_trimmean,0.005135110820403317,,97
kolmogorov_complexity_mean_central_right_trimmean,0.005121535270730184,,98
wsmi_gamma_mean_frontal_left_trimmean,0.005113034504425244,,99
wsmi_gamma_mean_frontal_right_trimmean,0.005087797524865515,,100
slowwaves_Frequency_mean_frontal_right_trimmean,0.005072240276099494,,101
psd_relative_beta_mean_central_left_trimmean,0.005067617371604688,,102
psd_relative_gamma_mean_posterior_left_trimmean,0.005061278020623408,,103
P3a_mean_frontocentral_midline_trimmean,0.0050222863869758515,,104
psd_relative_gamma_mean_posterior_mid_trimmean,0.0050116270304686045,,105
psd_relative_alpha_mean_posterior_mid_trimmean,0.004999061791962425,,106
wsmi_gamma_mean_central_mid_trimmean,0.004996236425041336,,107
slowwaves_Density_mean_posterior_right_trimmean,0.004940578107925856,,108
PE_gamma_mean_posterior_mid_trimmean,0.004932426311011872,,109
slowwaves_PTP_mean_posterior_left_trimmean,0.004900430494866424,,110
slowwaves_Frequency_mean_frontal_left_trimmean,0.004893913144478607,,111
wsmi_alpha_mean_frontal_mid_trimmean,0.004820873260641457,,112
psd_relative_theta_mean_posterior_right_trimmean,0.004795672398582657,,113
slowwaves_Duration_mean_posterior_mid_trimmean,0.004790738682444667,,114
psd_relative_delta_mean_frontal_mid_trimmean,0.004778917297700972,,115
slowwaves_Duration_mean_central_left_trimmean,0.004774511676178339,,116
slowwaves_Density_mean_posterior_mid_trimmean,0.004755985407370381,,117
wsmi_gamma_mean_posterior_left_trimmean,0.004745540633262118,,118
psd_relative_theta_mean_central_left_trimmean,0.004741453235525644,,119
PE_theta_mean_posterior_right_trimmean,0.004737833568132727,,120
kolmogorov_complexity_mean_posterior_left_trimmean,0.004736987026075275,,121
slowwaves_Duration_mean_posterior_right_trimmean,0.004711718455091225,,122
PE_gamma_mean_frontal_mid_trimmean,0.004699842721465464,,123
wsmi_beta_mean_central_mid_trimmean,0.0046941567635335356,,124
psd_relative_gamma_mean_central_mid_trimmean,0.004676875982505125,,125
wsmi_gamma_mean_frontal_mid_trimmean,0.004655716179948786,,126
PE_gamma_mean_central_left_trimmean,0.00464677304183713,,127
psd_relative_theta_mean_posterior_left_trimmean,0.004638596415781858,,128
PE_beta_mean_central_left_trimmean,0.004638184068404399,,129
psd_relative_theta_mean_central_right_trimmean,0.004638014910453899,,130
wsmi_alpha_mean_central_right_trimmean,0.004626202092553333,,131
PE_alpha_mean_frontal_left_trimmean,0.004622240279663171,,132
