subject,auc,minority_ratio,n_trials
02,0.9333333333333332,0.3181818181818182,22
04,0.4,0.46153846153846156,13
05,0.3008333333333334,0.43902439024390244,41
06,0.68,0.4166666666666667,36
08,0.5,0.4722222222222222,36
11,0.15,0.2,25
12,0.6,0.47368421052631576,19
24,0.35833333333333334,0.41935483870967744,31
25,0.3383333333333333,0.475,40
26,0.5599999999999999,0.4888888888888889,45
27,0.5444444444444445,0.4444444444444444,27
28,0.9,0.38461538461538464,13
29,0.7500000000000001,0.45714285714285713,35
30,0.5333333333333334,0.36666666666666664,30
32,0.36666666666666664,0.3548387096774194,31
34,0.5956666666666667,0.48,50
35,0.5833333333333334,0.3783783783783784,37
36,0.6,0.4,15
37,0.763888888888889,0.42424242424242425,33
38,0.6,0.3333333333333333,15
40,0.665,0.4772727272727273,44
43,0.8111111111111111,0.46153846153846156,26
