subject,run_idx,mean_auc,mean_auprc,mean_mcc,mean_balanced_accuracy,mean_precision,mean_recall,mean_f1,n_samples,n_positive,n_negative
02,93.0,0.8666666666666668,0.961111111111111,0.5891411538058257,0.7833333333333333,0.9,0.8666666666666668,0.8428571428571429,22.0,15.0,7.0
04,93.0,0.4,0.65,-0.4,0.3,0.3,0.2,0.2333333333333333,13.0,7.0,6.0
05,93.0,0.22000000000000003,0.5224841269841269,-0.49448723450614507,0.25666666666666665,0.27999999999999997,0.22999999999999998,0.24047619047619045,41.0,23.0,18.0
06,93.0,0.7366666666666667,0.8688095238095238,0.3839952837501581,0.6833333333333332,0.7533333333333334,0.7,0.7151515151515151,36.0,21.0,15.0
08,93.0,0.65,0.7344047619047618,0.18025518961968795,0.575,0.6333333333333333,0.65,0.6009523809523809,36.0,19.0,17.0
11,93.0,0.35,0.32999999999999996,0.022474487139158915,0.525,0.1,0.2,0.13333333333333333,25.0,5.0,20.0
12,93.0,0.8,0.8666666666666666,0.4309401076758503,0.7,0.6333333333333333,0.6,0.5933333333333334,19.0,10.0,9.0
24,93.0,0.5166666666666667,0.7371825396825396,0.014688029529348733,0.4916666666666666,0.5676190476190476,0.6833333333333333,0.6002164502164502,31.0,18.0,13.0
25,93.0,0.3408333333333333,0.5172619047619048,-0.16553911716737654,0.43166666666666664,0.29904761904761906,0.3833333333333333,0.3233766233766234,40.0,19.0,21.0
26,93.0,0.4600000000000001,0.5820119047619048,-0.02,0.48999999999999994,0.58,0.57,0.5077233877233878,45.0,23.0,22.0
27,93.0,0.3666666666666667,0.5127777777777778,-0.31191720623915054,0.36666666666666664,0.25,0.4,0.29999999999999993,27.0,12.0,15.0
28,93.0,0.4,0.7333333333333333,0.0,0.5,0.6333333333333333,0.8,0.6599999999999999,13.0,8.0,5.0
29,93.0,0.6333333333333334,0.7663095238095238,0.15967877482081505,0.5583333333333333,0.6533333333333333,0.6,0.5609523809523809,35.0,19.0,16.0
30,93.0,0.5805555555555555,0.8108333333333334,-0.1914213562373095,0.4,0.55,0.6333333333333333,0.5814285714285713,30.0,19.0,11.0
32,93.0,0.3416666666666667,0.42666666666666664,-0.0632455532033676,0.475,0.2,0.2,0.2,31.0,11.0,20.0
34,93.0,0.5903333333333334,0.6796666666666666,0.09,0.545,0.57,0.6200000000000001,0.5824242424242424,50.0,26.0,24.0
35,93.0,0.53,0.6858571428571428,-0.07048234609340927,0.4716666666666667,0.5819047619047619,0.71,0.6147186147186147,37.0,23.0,14.0
36,93.0,0.3,0.6666666666666666,-0.4,0.3,0.4,0.3,0.3333333333333333,15.0,9.0,6.0
37,93.0,0.7,0.8099206349206348,0.18737734478532145,0.6083333333333333,0.6833333333333333,0.75,0.689047619047619,33.0,19.0,14.0
38,93.0,0.4,0.7666666666666666,-0.3,0.35,0.5333333333333333,0.5,0.49333333333333335,15.0,10.0,5.0
40,93.0,0.65,0.7817460317460319,0.3113594362117865,0.65,0.62,0.6,0.596103896103896,44.0,21.0,23.0
43,93.0,0.8222222222222222,0.8955555555555555,0.40808802290397617,0.7,0.7166666666666666,0.7333333333333333,0.7047619047619047,26.0,14.0,12.0
