predictor,estimate,std_error,t_value,p_value,conf_lower,conf_upper,significant_05,significant_01
Intercept,4.7556638985236495,3.690559401613148,1.2886024531795757,0.19753633013996674,-2.4776996114438132,11.989027408491111,False,False
group[T.Risk of Depression],-0.048656791156372885,5.367433982422141,-0.009065186701079036,0.9927671265539247,-10.568634086100163,10.471320503787416,False,False
inclusion_exclusion[T.inclusion],-6.141011932060845,1.8356465883607527,-3.345421700995734,0.000821575524046786,-9.738813133591742,-2.543210730529948,True,True
probe_number,-0.12149098643241213,0.28094627766534896,-0.4324349389570021,0.6654253290523877,-0.6721355722470859,0.42915359938226166,False,False
group[T.Risk of Depression]:probe_number,-0.6344928516753735,0.4032544477070181,-1.5734305108926168,0.11561916680594524,-1.4248570457867196,0.15587134243597256,False,False
subject_id Var,0.25611480247315516,0.10090758919376223,2.5381123909457872,0.011145218570953049,0.05833956188661804,0.45389004305969227,True,False
