subject,auc,label_std,label_mean
03,0.5166666666666667,12.693080229569405,51.65714285714286
04,0.6889999999999998,30.743773480871493,63.01960784313726
05,0.43,41.93007964394259,46.89473684210526
06,0.4800000000000001,29.83547417891191,53.089285714285715
07,0.7416666666666667,22.751728044969635,17.8125
08,0.663,32.79123825235102,44.8
10,0.5453333333333333,19.493398868462073,46.91489361702128
12,0.4222222222222222,30.38247230980247,38.193548387096776
14,0.35,9.824839567518268,71.71428571428571
17,0.38333333333333336,13.608575727581975,76.88
18,0.7466666666666667,20.939676064114114,62.21818181818182
19,0.55,10.974984847263382,55.68421052631579
20,0.5,8.608965426477544,88.4
21,0.4333333333333333,17.339742404853272,50.6
22,0.4225,28.65468389445099,57.54545454545455
24,0.7333333333333334,14.745055668483138,61.6
25,0.6224999999999999,23.145526417301422,46.372093023255815
26,0.2375,14.240101397282187,37.65853658536585
27,0.8633333333333333,30.353091192291046,47.391304347826086
28,0.5640000000000001,28.159754343848284,58.705882352941174
29,0.43200000000000005,25.67219571156821,64.86
30,0.6155555555555556,27.771090174448535,40.285714285714285
31,0.825,19.185399277954716,45.72727272727273
32,0.51,32.267133070479346,53.91379310344828
33,0.39583333333333337,26.502156246507298,81.08333333333333
34,0.395,30.747557809783352,57.38095238095238
35,0.425,27.58794019937778,38.638888888888886
36,0.7,27.116512739618543,67.6
37,0.525,20.337363997928456,48.41379310344828
38,0.6000000000000001,16.558366078194048,79.11111111111111
39,0.28888888888888886,28.230446827473653,77.37931034482759
40,0.3125,22.45045121153931,30.63157894736842
41,0.635,21.773214610937153,56.92307692307692
42,0.7633333333333334,14.170301192897627,51.15
43,0.6540000000000001,25.82379987817461,61.148936170212764
