feature_name,mean_abs_shap_value
slowwaves_Density_mean_posterior_left_trimmean,0.005530970419736559
slowwaves_Density_mean_posterior_mid_trimmean,0.009059471932570902
slowwaves_Density_mean_posterior_right_trimmean,0.005113112291035265
slowwaves_Duration_mean_central_left_trimmean,0.0013335903303055233
slowwaves_Duration_mean_central_mid_trimmean,0.0012402922610485487
slowwaves_Duration_mean_central_right_trimmean,0.0011287583408718994
slowwaves_Duration_mean_frontal_left_trimmean,0.0017113548033520973
slowwaves_Duration_mean_frontal_mid_trimmean,0.0023765220341728684
slowwaves_Duration_mean_frontal_right_trimmean,0.0010479043486481395
slowwaves_Duration_mean_posterior_left_trimmean,0.0014227628265973931
slowwaves_Duration_mean_posterior_mid_trimmean,0.0008636195288196716
slowwaves_Duration_mean_posterior_right_trimmean,0.0017781288590945083
slowwaves_Frequency_mean_central_left_trimmean,0.0009512009024159511
slowwaves_Frequency_mean_central_mid_trimmean,0.001023654870571238
slowwaves_Frequency_mean_central_right_trimmean,0.0010666471651685884
slowwaves_Frequency_mean_frontal_left_trimmean,0.0017554729581359938
slowwaves_Frequency_mean_frontal_mid_trimmean,0.0021231893163621614
slowwaves_Frequency_mean_frontal_right_trimmean,0.00101977925360311
slowwaves_Frequency_mean_posterior_left_trimmean,0.0013488101554130945
slowwaves_Frequency_mean_posterior_mid_trimmean,0.0009351274322337444
slowwaves_Frequency_mean_posterior_right_trimmean,0.0013242607403475138
slowwaves_PTP_mean_central_left_trimmean,0.0011561784784440005
slowwaves_PTP_mean_central_mid_trimmean,0.0015761405629160796
slowwaves_PTP_mean_central_right_trimmean,0.0021575761739949326
slowwaves_PTP_mean_frontal_left_trimmean,0.0025141474960793616
slowwaves_PTP_mean_frontal_mid_trimmean,0.001462356778579479
slowwaves_PTP_mean_frontal_right_trimmean,0.00362926147110851
slowwaves_PTP_mean_posterior_left_trimmean,0.0010543808109480003
slowwaves_PTP_mean_posterior_mid_trimmean,0.0015321211680457292
slowwaves_PTP_mean_posterior_right_trimmean,0.0013363865583950153
slowwaves_Slope_mean_central_left_trimmean,0.0007912775738841048
slowwaves_Slope_mean_central_mid_trimmean,0.0008513415043595822
slowwaves_Slope_mean_central_right_trimmean,0.002120862717817586
slowwaves_Slope_mean_frontal_left_trimmean,0.0010572199054172209
slowwaves_Slope_mean_frontal_mid_trimmean,0.0008421318921301062
slowwaves_Slope_mean_frontal_right_trimmean,0.001475587870329266
slowwaves_Slope_mean_posterior_left_trimmean,0.0010412436927801968
slowwaves_Slope_mean_posterior_mid_trimmean,0.001696801813581775
slowwaves_Slope_mean_posterior_right_trimmean,0.0007295192423785966
wsmi_alpha_mean_central_left_trimmean,0.0011960574376447305
wsmi_alpha_mean_central_mid_trimmean,0.0026964214306170096
wsmi_alpha_mean_central_right_trimmean,0.0013051073898849145
wsmi_alpha_mean_frontal_left_trimmean,0.0016657166889172325
wsmi_alpha_mean_frontal_mid_trimmean,0.0031061810298538867
wsmi_alpha_mean_frontal_right_trimmean,0.0008965090750397343
wsmi_alpha_mean_posterior_left_trimmean,0.0010248640023253679
wsmi_alpha_mean_posterior_mid_trimmean,0.0008748383739070983
wsmi_alpha_mean_posterior_right_trimmean,0.0009083052899330742
wsmi_beta_mean_central_left_trimmean,0.0010164806404062185
wsmi_beta_mean_central_mid_trimmean,0.0011668014541338686
wsmi_beta_mean_central_right_trimmean,0.0014413965528174016
wsmi_beta_mean_frontal_left_trimmean,0.0009031595686071504
wsmi_beta_mean_frontal_mid_trimmean,0.002981340825430964
wsmi_beta_mean_frontal_right_trimmean,0.0008709984372768405
wsmi_beta_mean_posterior_left_trimmean,0.0010179077937534677
wsmi_beta_mean_posterior_mid_trimmean,0.0008705800098996175
wsmi_beta_mean_posterior_right_trimmean,0.0008678032865005185
wsmi_gamma_mean_central_left_trimmean,0.000958013730441249
wsmi_gamma_mean_central_mid_trimmean,0.0011606699632509495
wsmi_gamma_mean_central_right_trimmean,0.0013051505029035443
wsmi_gamma_mean_frontal_left_trimmean,0.0009250332908642265
wsmi_gamma_mean_frontal_mid_trimmean,0.0009033095499378774
wsmi_gamma_mean_frontal_right_trimmean,0.001054206644420129
wsmi_gamma_mean_posterior_left_trimmean,0.0009295576663971573
wsmi_gamma_mean_posterior_mid_trimmean,0.0008349467218650601
wsmi_gamma_mean_posterior_right_trimmean,0.0007749568004866272
wsmi_theta_mean_central_left_trimmean,0.009082410497768048
wsmi_theta_mean_central_mid_trimmean,0.002276611619058526
wsmi_theta_mean_central_right_trimmean,0.002974045119476995
wsmi_theta_mean_frontal_left_trimmean,0.0030747956510633464
wsmi_theta_mean_frontal_mid_trimmean,0.0033734757654307595
wsmi_theta_mean_frontal_right_trimmean,0.002290103516195127
wsmi_theta_mean_posterior_left_trimmean,0.0011734603796585948
wsmi_theta_mean_posterior_mid_trimmean,0.0025928552493825986
wsmi_theta_mean_posterior_right_trimmean,0.004480955011932294
