subject,auc,subject_median,dist_from_50
03,0.6071428571428572,58.0,8.0
05,0.6857707509881422,79.0,29.0
06,0.41991341991341985,58.0,8.0
08,0.6095238095238096,89.0,39.0
10,0.8181818181818181,83.5,33.5
12,0.6770833333333334,63.0,13.0
14,0.5353535353535354,87.0,37.0
15,0.9468599033816425,75.0,25.0
19,0.27218934911242604,62.0,12.0
22,0.5487179487179488,77.0,27.0
23,0.6000000000000001,82.0,32.0
24,0.8839285714285715,77.0,27.0
25,0.5693581780538303,76.0,26.0
28,0.6363636363636365,76.0,26.0
29,0.49374999999999997,77.5,27.5
30,0.8693181818181818,62.0,12.0
31,0.48461538461538467,36.0,14.0
32,0.7913832199546486,78.0,28.0
35,0.5909090909090909,81.0,31.0
37,0.5952380952380953,75.0,25.0
38,0.4542936288088643,56.0,6.0
40,0.5636363636363636,74.0,24.0
41,0.5390625,72.0,22.0
42,0.6372549019607843,68.0,18.0
