subject,auc,minority_ratio,n_trials
03,0.6071428571428572,0.36363636363636365,11
05,0.6857707509881422,0.4888888888888889,45
06,0.41991341991341985,0.4883720930232558,43
08,0.6095238095238096,0.4827586206896552,29
10,0.8181818181818181,0.3888888888888889,18
12,0.6770833333333334,0.47058823529411764,34
14,0.5353535353535354,0.45,20
15,0.9468599033816425,0.28125,32
19,0.27218934911242604,0.5,26
22,0.5487179487179488,0.4642857142857143,28
23,0.6000000000000001,0.45454545454545453,11
24,0.8839285714285715,0.30434782608695654,23
25,0.5693581780538303,0.4772727272727273,44
28,0.6363636363636365,0.2903225806451613,31
29,0.49374999999999997,0.45454545454545453,44
30,0.8693181818181818,0.4782608695652174,46
31,0.48461538461538467,0.3939393939393939,33
32,0.7913832199546486,0.5,42
35,0.5909090909090909,0.4782608695652174,23
37,0.5952380952380953,0.4666666666666667,45
38,0.4542936288088643,0.5,38
40,0.5636363636363636,0.4230769230769231,26
41,0.5390625,0.5,32
42,0.6372549019607843,0.41379310344827586,29
