mean_fpr,mean_tpr,std_tpr
0.0,0.0,0.0
0.010101010101010102,0.09580890575156513,0.13273549686821584
0.020202020202020204,0.09580890575156513,0.13273549686821584
0.030303030303030304,0.09580890575156513,0.13273549686821584
0.04040404040404041,0.10887027630085837,0.13027648173792222
0.05050505050505051,0.11787535981574583,0.13540279667755145
0.06060606060606061,0.11963902824608093,0.1341603701958804
0.07070707070707072,0.1309876424380103,0.15416096690571923
0.08080808080808081,0.16443808893193507,0.16228240323779297
0.09090909090909091,0.18542574325292271,0.1671011621251785
0.10101010101010102,0.18542574325292271,0.1671011621251785
0.11111111111111112,0.21006059931417087,0.16507669968387415
0.12121212121212122,0.2155475677641023,0.16538945201596839
0.13131313131313133,0.2374793034213281,0.1845119476347684
0.14141414141414144,0.23942862116011948,0.18505017189375556
0.15151515151515152,0.25652263825413657,0.18345384477510054
0.16161616161616163,0.2661248330415166,0.18947797499464372
0.17171717171717174,0.26788850147185167,0.18764869618922653
0.18181818181818182,0.2872436387180434,0.19308385410119822
0.19191919191919193,0.2872436387180434,0.19308385410119822
0.20202020202020204,0.2964717220202007,0.19882911054582852
0.21212121212121213,0.3008290204951462,0.20001534362633508
0.22222222222222224,0.30888055028580647,0.20432402368120603
0.23232323232323235,0.3122475536528099,0.2059412226161033
0.24242424242424243,0.31385785961094187,0.20502118333958902
0.25252525252525254,0.3176468148065467,0.20541032103087178
0.26262626262626265,0.3201159506090158,0.20836753830167867
0.27272727272727276,0.3514290819221472,0.2377678595171593
0.2828282828282829,0.3514290819221472,0.2377678595171593
0.29292929292929293,0.39334827384133914,0.22437572162693964
0.30303030303030304,0.39334827384133914,0.22437572162693964
0.31313131313131315,0.40421391531126916,0.22868503507071092
0.32323232323232326,0.41065513914379725,0.22451888520270555
0.33333333333333337,0.4146856402331218,0.22257272950110826
0.3434343434343435,0.4146856402331218,0.22257272950110826
0.3535353535353536,0.41989826026055677,0.22842290428078463
0.36363636363636365,0.4298528789108276,0.22686591241555384
0.37373737373737376,0.4298528789108276,0.22686591241555384
0.38383838383838387,0.4324071573271749,0.22550189401811485
0.393939393939394,0.4324071573271749,0.22550189401811485
0.4040404040404041,0.44361220295251047,0.23101449580577266
0.4141414141414142,0.4468386598994755,0.2301270429584624
0.42424242424242425,0.4543208896039275,0.23238780964305158
0.43434343434343436,0.49024460088995764,0.22572390229182135
0.4444444444444445,0.4995038601492169,0.21000418395462495
0.4545454545454546,0.5088605852954157,0.21968783890998878
0.4646464646464647,0.5102323274078986,0.22124156413407078
0.4747474747474748,0.5102323274078986,0.22124156413407078
0.48484848484848486,0.5157412688436135,0.22264330315778855
0.494949494949495,0.5157412688436135,0.22264330315778855
0.5050505050505051,0.5439258057238026,0.20220513101217485
0.5151515151515152,0.5439258057238026,0.20220513101217485
0.5252525252525253,0.5491015804095591,0.20289688815702395
0.5353535353535354,0.5491015804095591,0.20289688815702395
0.5454545454545455,0.553749365449501,0.20234977096921325
0.5555555555555556,0.5614122006985431,0.20081633748557848
0.5656565656565657,0.5614122006985431,0.20081633748557848
0.5757575757575758,0.5752039644903069,0.20654983306427258
0.5858585858585859,0.5899703648776223,0.21277709594235603
0.595959595959596,0.5970954573021702,0.21764975456765964
0.6060606060606061,0.5986386671787135,0.21887270770719974
0.6161616161616162,0.6142509668489842,0.21991937567801287
0.6262626262626263,0.627928679649504,0.21095689328943049
0.6363636363636365,0.6316323833532077,0.2130570942442415
0.6464646464646465,0.6432705036869802,0.2144282269177069
0.6565656565656566,0.6500668623351906,0.2153277110785265
0.6666666666666667,0.6731047248231811,0.20153465694742387
0.6767676767676768,0.6731047248231811,0.20153465694742387
0.686868686868687,0.6763253367394451,0.20256142768639568
0.696969696969697,0.6763253367394451,0.20256142768639568
0.7070707070707072,0.6763253367394451,0.20256142768639568
0.7171717171717172,0.697456517610609,0.2108198895344757
0.7272727272727273,0.7027475229016142,0.2020292759232349
0.7373737373737375,0.7148593822356959,0.20647335202991224
0.7474747474747475,0.7148593822356959,0.20647335202991224
0.7575757575757577,0.723501357544338,0.2063681137581317
0.7676767676767677,0.726727814491303,0.20788717347170907
0.7777777777777778,0.7383620620353734,0.20789932846407566
0.787878787878788,0.7399723679935055,0.20873926040301602
0.797979797979798,0.7482028206684026,0.2143726643904114
0.8080808080808082,0.7596898053840507,0.21900303690035555
0.8181818181818182,0.7714182004457791,0.21065924755531196
0.8282828282828284,0.7733675181845706,0.2125137176366094
0.8383838383838385,0.7967361248865108,0.201765544259556
0.8484848484848485,0.7981078669989936,0.20251192086315437
0.8585858585858587,0.8389910578821845,0.11511202411495623
0.8686868686868687,0.8440996147148793,0.11137112532171346
0.8787878787878789,0.8539761579247558,0.10693398874589602
0.888888888888889,0.8651561272367699,0.11265060728046421
0.8989898989898991,0.8664332664449437,0.1124126482319133
0.9090909090909092,0.8750752417535856,0.10230927812805768
0.9191919191919192,0.8750752417535856,0.10230927812805768
0.9292929292929294,0.8872962169375237,0.1057429715470802
0.9393939393939394,0.8991097546131305,0.1042189566378261
0.9494949494949496,0.8991097546131305,0.1042189566378261
0.9595959595959597,0.9040480262180687,0.1057128897072615
0.9696969696969697,0.907715945344925,0.10677673540609346
0.9797979797979799,0.907715945344925,0.10677673540609346
0.98989898989899,0.907715945344925,0.10677673540609346
1.0,1.0,0.0
