subject,fold_idx,auc,auprc,mcc,balanced_accuracy,precision,recall,f1,n_samples,n_positive,n_negative,run_idx
02,0,0.6363636363636364,0.6997493734335839,0.23636363636363636,0.6181818181818182,0.6,0.6,0.6,21,10,11,0
03,1,0.7999999999999999,0.764155844155844,0.42727272727272725,0.7136363636363636,0.7,0.7,0.7,21,10,11,0
04,2,0.4839476813317479,0.5900178753831515,-0.10344827586206896,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4482758620689655,58,29,29,0
05,3,0.44480519480519476,0.5748340426327987,-0.14015297764534704,0.4285714285714286,0.55,0.5,0.5238095238095238,36,22,14,0
06,4,0.5426086956521738,0.5255001067951549,-0.00888301269073847,0.4956521739130435,0.47368421052631576,0.391304347826087,0.42857142857142855,48,23,25,0
08,5,0.47360248447204967,0.44554286286462064,-0.0650157914671245,0.46739130434782605,0.4166666666666667,0.43478260869565216,0.425531914893617,51,23,28,0
10,6,0.5,0.42424242424242425,0.3105295017040594,0.6607142857142857,0.5,0.75,0.6,11,4,7,0
12,7,0.5964912280701755,0.42822593796592096,0.022075539284417398,0.5116959064327485,0.3333333333333333,0.4444444444444444,0.38095238095238093,28,9,19,0
19,8,0.09523809523809526,0.23095238095238094,-0.8017837257372732,0.07142857142857142,0.0,0.0,0.0,10,3,7,0
21,9,0.5666666666666667,0.7822501906941266,0.15096490996388545,0.5791666666666666,0.7272727272727273,0.5333333333333333,0.6153846153846154,23,15,8,0
22,10,0.4484848484848485,0.6062124011254446,0.012012499502607453,0.5060606060606061,0.5833333333333334,0.4666666666666667,0.5185185185185185,26,15,11,0
24,11,0.6811594202898551,0.6840095013428346,0.31212739461154115,0.6594202898550725,0.5555555555555556,0.6666666666666666,0.6060606060606061,38,15,23,0
25,12,0.7944444444444445,0.8965727610488639,0.5522311464689716,0.7791666666666667,0.9375,0.625,0.75,39,24,15,0
26,13,0.5277777777777777,0.5040087581489802,0.2078530225720874,0.6047008547008548,0.5263157894736842,0.5555555555555556,0.5405405405405406,44,18,26,0
28,14,0.28571428571428575,0.3693939393939394,-0.1690308509457033,0.41428571428571426,0.3333333333333333,0.4,0.36363636363636365,12,5,7,0
29,15,0.28042328042328035,0.43552027235208,-0.3273268353539886,0.34523809523809523,0.3076923076923077,0.19047619047619047,0.23529411764705882,39,21,18,0
30,16,0.6558441558441558,0.6177149267070215,0.2987012987012987,0.6493506493506493,0.5714285714285714,0.7272727272727273,0.64,25,11,14,0
31,17,0.5416666666666666,0.748611111111111,0.0,0.5,0.6,0.5,0.5454545454545454,10,6,4,0
32,18,0.6071428571428572,0.8585800931747964,0.11240887890557708,0.5654761904761905,0.8333333333333334,0.4166666666666667,0.5555555555555556,31,24,7,0
34,19,0.5909090909090909,0.6059172606399488,0.021591675854376522,0.5104895104895105,0.4666666666666667,0.6363636363636364,0.5384615384615384,48,22,26,0
35,20,0.6809116809116809,0.6813947533765365,0.36709035441389004,0.6809116809116809,0.7272727272727273,0.5925925925925926,0.6530612244897959,53,27,26,0
36,21,0.5603864734299517,0.8009618079292781,0.16974982846110506,0.5942028985507246,0.8,0.5217391304347826,0.631578947368421,32,23,9,0
37,22,0.296875,0.17242324561403508,-0.15309310892394865,0.40625,0.125,0.25,0.16666666666666666,20,4,16,0
38,23,0.32499999999999996,0.7039489706200233,-0.18257418583505539,0.39166666666666666,0.6923076923076923,0.45,0.5454545454545454,26,20,6,0
40,24,0.5934664246823956,0.46971240937655234,0.0426014322842305,0.5217785843920145,0.4166666666666667,0.5263157894736842,0.46511627906976744,48,19,29,0
42,25,0.5384615384615385,0.6959276018099548,-0.0316069770620507,0.48351648351648346,0.6363636363636364,0.5384615384615384,0.5833333333333334,20,13,7,0
43,26,0.5931372549019608,0.5670087203713368,0.0700556668080042,0.5355392156862745,0.45,0.5294117647058824,0.4864864864864865,41,17,24,0
