subject,auc,subject_median,dist_from_50
02,0.6363636363636364,84.0,34.0
03,0.7999999999999999,44.0,6.0
04,0.4839476813317479,72.0,22.0
05,0.44480519480519476,75.0,25.0
06,0.5426086956521738,53.0,3.0
08,0.47360248447204967,66.0,16.0
10,0.5,39.0,11.0
12,0.5964912280701755,33.5,16.5
19,0.09523809523809526,50.0,0.0
21,0.5666666666666667,58.0,8.0
22,0.4484848484848485,62.0,12.0
24,0.6811594202898551,62.5,12.5
25,0.7944444444444445,67.0,17.0
26,0.5277777777777777,64.5,14.5
28,0.28571428571428575,39.0,11.0
29,0.28042328042328035,55.0,5.0
30,0.6558441558441558,41.0,9.0
31,0.5416666666666666,55.0,5.0
32,0.6071428571428572,72.0,22.0
34,0.5909090909090909,72.0,22.0
35,0.6809116809116809,33.0,17.0
36,0.5603864734299517,60.5,10.5
37,0.296875,25.0,25.0
38,0.32499999999999996,73.0,23.0
40,0.5934664246823956,50.5,0.5
42,0.5384615384615385,58.0,8.0
43,0.5931372549019608,80.0,30.0
