subject,auc,label_std,label_mean
02,0.6363636363636364,13.14008769993202,86.19047619047619
03,0.7999999999999999,10.150533647711992,48.333333333333336
04,0.4839476813317479,25.13367167577444,73.98275862068965
05,0.44480519480519476,25.273362600628694,65.33333333333333
06,0.5426086956521738,19.000828182771553,57.770833333333336
08,0.47360248447204967,16.674484440981942,69.62745098039215
10,0.5,15.328523619828376,47.81818181818182
12,0.5964912280701755,21.264366447728474,34.392857142857146
19,0.09523809523809526,8.099382692526634,53.4
21,0.5666666666666667,17.14101015836032,60.21739130434783
22,0.4484848484848485,11.348805426800855,58.34615384615385
24,0.6811594202898551,17.234080001947124,64.5
25,0.7944444444444445,21.76403947581866,63.1025641025641
26,0.5277777777777777,20.715428164998094,70.18181818181819
28,0.28571428571428575,22.36525308272959,50.25
29,0.28042328042328035,22.63030941422445,51.97435897435897
30,0.6558441558441558,24.959166652755055,49.72
31,0.5416666666666666,13.638181696985855,54.0
32,0.6071428571428572,19.718830037923553,71.03225806451613
34,0.5909090909090909,25.322039289102793,69.16666666666667
35,0.6809116809116809,21.29450006330975,31.92452830188679
36,0.5603864734299517,13.586008872983047,57.46875
37,0.296875,24.13836212993312,35.65
38,0.32499999999999996,16.787541167828554,68.3076923076923
40,0.5934664246823956,23.28294013689937,56.229166666666664
42,0.5384615384615385,11.851160280748884,53.35
43,0.5931372549019608,20.880028969235116,75.21951219512195
