subject,auc,label_std,label_mean
02,0.9,13.14008769993202,86.19047619047619
03,0.8,10.150533647711992,48.333333333333336
04,0.828888888888889,25.13367167577444,73.98275862068965
05,0.76,25.273362600628694,65.33333333333333
06,0.42000000000000004,19.000828182771553,57.770833333333336
08,0.516,16.674484440981942,69.62745098039215
12,0.675,21.264366447728474,34.392857142857146
21,0.13333333333333333,17.14101015836032,60.21739130434783
22,0.5888888888888889,11.348805426800855,58.34615384615385
24,0.93,17.234080001947124,64.5
25,0.8966666666666667,21.76403947581866,63.1025641025641
26,0.7133333333333333,20.715428164998094,70.18181818181819
28,0.6,22.36525308272959,50.25
29,0.5766666666666668,22.63030941422445,51.97435897435897
30,0.5666666666666667,24.959166652755055,49.72
32,0.75,19.718830037923553,71.03225806451613
34,0.491,25.322039289102793,69.16666666666667
35,0.8373333333333333,21.29450006330975,31.92452830188679
36,0.625,13.586008872983047,57.46875
38,0.4,16.787541167828554,68.3076923076923
40,0.7444444444444445,23.28294013689937,56.229166666666664
42,0.5333333333333333,11.851160280748884,53.35
43,0.485,20.880028969235116,75.21951219512195
