cluster_id,cluster_type,n_electrodes,electrodes,cluster_stat,p_value
0,negative,22,"AF4,AF7,AF8,AFz,F1,F2,F3,F4,F5,F6,F7,F8,FC2,FC3,FC4,FC5,FC6,FT7,FT8,Fp2,Fz,T7",-74.1595933440282,0.0009998000399920016
1,negative,4,"P3,P5,P7,PO3",-11.415516218040183,0.014797040591881624
2,negative,1,TP8,-2.870850103253575,0.08078384323135374
