Group,Inclusion_Exclusion,N,Mean,SD,SE
Controls,inclusion,113,44.9646017699115,24.231373259953948,2.2794958495230957
Controls,exclusion,144,49.298611111111114,25.567428979678905,2.130619081639909
Risk of Depression,inclusion,106,55.471698113207545,29.90403939816566,2.9045370694812935
Risk of Depression,exclusion,106,47.320754716981135,30.231345186840922,2.9363278180020913
