subject,sart,probe_number,n_trials_window,n_go,n_nogo,n_omissions,n_commissions,omission_rate,commission_rate,rt_mean,rt_sd,rt_n,rtcv
2,Sart1,1.0,40,36,4,1,1,0.027777777777777776,0.25,576.0277777777778,116.58191139062724,36,0.20238939142897142
2,Sart1,2.0,40,37,3,1,0,0.02702702702702703,0.0,572.8333333333334,102.51397117327123,36,0.17895950743079062
2,Sart1,3.0,30,28,2,0,0,0.0,0.0,576.6428571428571,119.20328552696557,28,0.20671943482937175
2,Sart1,4.0,20,18,2,0,0,0.0,0.0,652.2777777777778,86.34936258190127,18,0.13238127301543504
2,Sart1,5.0,30,27,3,1,0,0.037037037037037035,0.0,621.9230769230769,81.96532099707683,26,0.1317933423576993
2,Sart1,6.0,40,36,4,0,0,0.0,0.0,589.3888888888889,98.3661607835824,36,0.16689517335323623
2,Sart1,7.0,20,19,1,0,0,0.0,0.0,493.94736842105266,95.78127495277428,19,0.1939098800322548
2,Sart1,8.0,20,19,1,0,0,0.0,0.0,588.7894736842105,84.46602140464427,19,0.14345708471334953
2,Sart1,9.0,30,27,3,0,0,0.0,0.0,614.7037037037037,80.97711681267398,27,0.13173357558246657
2,Sart1,10.0,40,36,4,0,0,0.0,0.0,588.2777777777778,106.61911142302266,36,0.181239399906923
2,Sart1,11.0,20,18,2,4,0,0.2222222222222222,0.0,691.0714285714286,132.03756125594558,14,0.19106210414297034
2,Sart1,12.0,20,18,2,1,0,0.05555555555555555,0.0,616.7647058823529,67.1802886006795,17,0.10892369157954712
2,Sart1,13.0,30,27,3,0,0,0.0,0.0,595.1851851851852,93.8669422587252,27,0.15771048170414315
2,Sart1,14.0,30,27,3,0,0,0.0,0.0,611.8148148148148,105.92378865414985,27,0.17313047361596018
2,Sart1,15.0,40,36,4,5,0,0.1388888888888889,0.0,650.4516129032259,132.04086203638565,31,0.2029987464356256
2,Sart2,1.0,40,37,3,0,0,0.0,0.0,593.4594594594595,107.39351175171788,37,0.18096183326412066
2,Sart2,2.0,40,36,4,0,0,0.0,0.0,599.7777777777778,109.14868263352939,36,0.18198187174912273
2,Sart2,3.0,20,18,2,0,0,0.0,0.0,552.5555555555555,53.21346824455609,18,0.09630428598451736
2,Sart2,4.0,40,36,4,0,0,0.0,0.0,558.9444444444445,93.23608879596063,36,0.16680743448238655
2,Sart2,5.0,30,28,2,0,0,0.0,0.0,622.8214285714286,111.53808636064502,28,0.17908517794013767
2,Sart2,6.0,40,36,4,1,0,0.027777777777777776,0.0,582.5142857142857,104.20691278542373,35,0.17889160032812587
2,Sart2,7.0,20,19,1,0,0,0.0,0.0,526.2631578947369,94.53091328899485,19,0.17962669791888208
2,Sart2,8.0,30,28,2,0,0,0.0,0.0,634.3571428571429,137.46439654492474,28,0.21669874469417252
2,Sart2,9.0,40,37,3,1,1,0.02702702702702703,0.3333333333333333,558.7027027027027,97.06666233541223,37,0.17373580236117708
