subject,sart,probe_number,n_trials_window,n_go,n_nogo,n_omissions,n_commissions,omission_rate,commission_rate,rt_mean,rt_sd,rt_n,rtcv
2,Sart1,1.0,10,9,1,1,1,0.1111111111111111,1.0,548.4444444444445,96.14716728940992,9,0.17530885445800026
2,Sart1,2.0,10,9,1,0,0,0.0,0.0,598.3333333333334,71.36350607978842,9,0.11927048369881073
2,Sart1,3.0,10,9,1,0,0,0.0,0.0,614.5555555555555,101.25229764196848,9,0.16475694788966125
2,Sart1,4.0,10,9,1,0,0,0.0,0.0,675.8888888888889,76.03855016444692,9,0.11250155375308601
2,Sart1,5.0,10,9,1,0,0,0.0,0.0,629.7777777777778,79.13244874540686,9,0.12565138297612238
2,Sart1,6.0,10,9,1,0,0,0.0,0.0,642.6666666666666,111.52578177264664,9,0.17353596748855807
2,Sart1,7.0,10,10,0,0,0,0.0,,556.2,66.61131035092063,10,0.11976143536663184
2,Sart1,8.0,10,10,0,0,0,0.0,,567.3,46.82603739136783,10,0.08254193088554174
2,Sart1,9.0,10,9,1,0,0,0.0,0.0,645.6666666666666,73.32462069455252,9,0.11356420345052018
2,Sart1,10.0,10,9,1,0,0,0.0,0.0,540.1111111111111,122.26042332296707,9,0.2263616148748619
2,Sart1,11.0,10,9,1,2,0,0.2222222222222222,0.0,663.4285714285714,137.6442965798161,7,0.20747417658456346
2,Sart1,12.0,10,9,1,0,0,0.0,0.0,603.1111111111111,81.61103547383229,9,0.1353167500487271
2,Sart1,13.0,10,9,1,0,0,0.0,0.0,627.3333333333334,100.82782354092544,9,0.16072447960827646
2,Sart1,14.0,10,9,1,0,0,0.0,0.0,621.4444444444445,92.93830091936142,9,0.14955206656074607
2,Sart1,15.0,10,9,1,2,0,0.2222222222222222,0.0,685.1428571428571,79.31252228038262,7,0.11576056212733077
2,Sart2,1.0,10,10,0,0,0,0.0,,656.6,100.62604036729259,10,0.1532531836236561
2,Sart2,2.0,10,9,1,0,0,0.0,0.0,613.0,120.03749414245534,9,0.195819729433043
2,Sart2,3.0,10,10,0,0,0,0.0,,536.6,43.11792615091264,10,0.08035394362823824
2,Sart2,4.0,10,9,1,0,0,0.0,0.0,548.2222222222222,86.86020057796577,9,0.15843976595089015
2,Sart2,5.0,10,10,0,0,0,0.0,,651.1,126.40099331536564,10,0.19413453127839908
2,Sart2,6.0,10,9,1,0,0,0.0,0.0,625.5555555555555,106.22865798727658,9,0.16981490619635686
2,Sart2,7.0,10,9,1,0,0,0.0,0.0,546.1111111111111,94.60634815439771,9,0.17323644626441087
2,Sart2,8.0,10,10,0,0,0,0.0,,699.5,162.52264799439834,10,0.232341169398711
2,Sart2,9.0,10,9,1,1,1,0.1111111111111111,1.0,613.7777777777778,75.19770238806798,9,0.1225161697126379
2,Sart2,10.0,10,10,0,0,0,0.0,,578.5,150.83342541433655,10,0.2607319367577123
2,Sart2,11.0,10,10,0,0,0,0.0,,697.6,77.88053529462788,10,0.11164067559436334
2,Sart2,12.0,10,10,0,0,0,0.0,,652.0,104.41157875340157,10,0.1601404582107386
2,Sart2,13.0,10,9,1,0,0,0.0,0.0,629.7777777777778,132.02346171966727,9,0.20963499567343072
2,Sart2,14.0,10,9,1,1,0,0.1111111111111111,0.0,617.25,119.88536190878351,8,0.1942249686655059
2,Sart2,15.0,10,9,1,1,0,0.1111111111111111,0.0,579.75,158.8950686998903,8,0.27407515084069045
2,Sart3,1.0,10,9,1,0,0,0.0,0.0,539.1111111111111,100.86060237333065,9,0.18708685518548554
2,Sart3,2.0,10,10,0,1,0,0.1,,499.44444444444446,77.7465611958354,9,0.15566608470801302
2,Sart3,3.0,10,9,1,0,0,0.0,0.0,536.3333333333334,122.63258131508118,9,0.2286499340865404
2,Sart3,4.0,10,9,1,0,0,0.0,0.0,537.6666666666666,130.72490198887127,9,0.24313372967552005
2,Sart3,5.0,10,9,1,0,0,0.0,0.0,611.8888888888889,170.19580227229787,9,0.27814821508092985
2,Sart3,6.0,10,9,1,1,0,0.1111111111111111,0.0,550.0,77.12142559441108,8,0.14022077380802014
2,Sart3,7.0,10,10,0,0,0,0.0,,511.1,63.40951558454509,10,0.12406479276960494
2,Sart3,8.0,10,10,0,0,0,0.0,,556.6,111.53395098454203,10,0.20038438912062886
2,Sart3,9.0,10,9,1,0,0,0.0,0.0,586.8888888888889,110.92502472891819,9,0.18900515383571823
2,Sart3,10.0,10,9,1,0,0,0.0,0.0,576.6666666666666,109.74971526158963,9,0.19031742530911497
2,Sart3,11.0,10,10,0,1,0,0.1,,663.3333333333334,217.31371332707008,9,0.3276086130558845
2,Sart3,12.0,10,9,1,0,0,0.0,0.0,510.0,60.71243694664216,9,0.11904399401302383
2,Sart3,13.0,10,9,1,1,0,0.1111111111111111,0.0,599.875,189.88751369466834,8,0.3165451363945294
2,Sart3,14.0,10,9,1,0,0,0.0,0.0,534.3333333333334,110.10563110032112,9,0.20606169263940322
2,Sart3,15.0,10,9,1,0,0,0.0,0.0,493.44444444444446,81.66564625212843,9,0.1655011970883035
2,Sart4,1.0,10,9,1,0,0,0.0,0.0,562.2222222222222,76.5012708681656,9,0.13606945411333804
2,Sart4,2.0,10,9,1,0,0,0.0,0.0,515.1111111111111,88.23752666020908,9,0.1712980457165405
2,Sart4,3.0,10,9,1,0,0,0.0,0.0,533.2222222222222,83.21625108381443,9,0.1560629839037987
2,Sart4,4.0,10,9,1,0,0,0.0,0.0,583.3333333333334,173.45748758701654,9,0.29735569300631404
2,Sart4,5.0,10,10,0,1,0,0.1,,496.1111111111111,104.56869087404276,9,0.21077675652102684
2,Sart4,6.0,10,9,1,0,0,0.0,0.0,498.3333333333333,108.53801177467736,9,0.21780203031707832
2,Sart4,7.0,10,10,0,0,0,0.0,,616.4,195.06021862206782,10,0.3164507115867421
2,Sart4,8.0,10,9,1,2,0,0.2222222222222222,0.0,539.7142857142857,89.42914194249785,7,0.16569719258800555
2,Sart4,9.0,10,9,1,0,0,0.0,0.0,542.1111111111111,161.4693813424425,9,0.2978529272559915
2,Sart4,10.0,10,9,1,4,0,0.4444444444444444,0.0,616.0,144.3675863897433,5,0.23436296491841446
